onset	duration	IAPSIdentifier	CueWord	TrialNumber	Condition	ResponseTime	VividnessRating
24	10	2389	Driving	1	Past	7656	2.0
40	10	1340	Birds	2	Other	7728	2.0
56	10	P5	Farm	3	Future	8228	3.0
72	10	CS04	Control Stimulus	4	Control	3905	1.0
88	10	2222	Learning	5	Null	0	n/a
104	10	2394	Health	6	Other	8809	1.0
120	10	P6	Bath	7	Future	10352	1.0
136	10	CS01	Control Stimulus	8	Control	2069	1.0
152	10	8370	Team	9	Past	8718	1.0
168	10	6213	Mask	10	Null	0	n/a
184	10	2345	SayCheese	11	Other	8511	1.0
200	10	CS05	Control Stimulus	12	Control	1973	2.0
216	10	2491	Flu	13	Past	3321	1.0
232	10	2320	Classroom	14	Future	8216	2.0
248	10	2595	Uncertainty	15	Null	0	n/a
264	10	CS06	Control Stimulus	16	Control	3393	3.0
280	10	2299	Family	17	Null	0	n/a
296	10	2303	Success	18	Future	8977	1.0
312	10	CS07	Control Stimulus	19	Control	3298	2.0
328	10	9331	Homeless	20	Other	9841	2.0
344	10	2357	Relaxing	21	Past	6476	1.0
360	10	CS03	Control Stimulus	22	Control	1670	2.0
376	10	2550	Love	23	Other	10386	3.0
392	10	P9	Worry	24	Null	0	n/a
408	10	9341	Trash	25	Future	7624	2.0
424	10	2560	Picnic	26	Past	7514	1.0
440	10	2025	Captivated	27	Null	0	n/a
456	10	2695	Travel	28	Future	9534	2.0
472	10	2141	Death	29	Past	6334	3.0
488	10	2393	Supervision	30	Other	9210	2.0
