onset	duration	IAPSIdentifier	CueWord	TrialNumber	Condition	ResponseTime	VividnessRating
24	10	2209	Preparation	1	Other	6476	2.0
40	10	2150	Safe	2	Past	6754	2.0
56	10	2191	HardWork	3	Other	6374	1.0
72	10	CS14	Control Stimulus	4	Control	2657	3.0
88	10	2224	Amusement	5	Past	7315	2.0
104	10	2312	Poverty	6	Null	0	n/a
120	10	2399	Headache	7	Future	6658	2.0
136	10	1112	Danger	8	Other	8167	3.0
152	10	CS09	Control Stimulus	9	Control	2650	3.0
168	10	2360	Home	10	Other	6989	2.0
184	10	2216	Cooperation	11	Future	8346	1.0
200	10	2346	Waterfall	12	Past	7555	1.0
216	10	2340	Laughter	13	Future	8706	1.0
232	10	2130	Anger	14	Null	0	n/a
248	10	2205	Loss	15	Past	9522	1.0
264	10	2331	White	16	Null	0	n/a
280	10	CS13	Control Stimulus	17	Control	1987	1.0
296	10	2208	Celebration	18	Null	0	n/a
312	10	1601	Zoo	19	Other	7260	2.0
328	10	2391	Outdoors	20	Past	7176	1.0
344	10	2341	Children	21	Future	8309	1.0
360	10	CS16	Control Stimulus	22	Control	2055	1.0
376	10	2160	Nurture	23	Null	0	n/a
392	10	9421	War	24	Past	8159	2.0
408	10	2272	Alone	25	Future	9675	2.0
424	10	CS10	Control Stimulus	26	Control	2511	2.0
440	10	CS11	Control Stimulus	27	Control	3184	1.0
456	10	2091	Friends	28	Other	6762	1.0
472	10	2092	Clowns	29	Future	7062	2.0
488	10	2310	Admire	30	Null	0	n/a
