onset	duration	IAPSIdentifier	CueWord	TrialNumber	Condition	ResponseTime	VividnessRating
24	10	2745	Desperate	1	Future	6617	3.0
40	10	4599	Intimate	2	Other	8462	2.0
56	10	2590	Assistance	3	Past	8649	2.0
72	10	4598	Goodbye	4	Null	0	n/a
88	10	CS17	Control Stimulus	5	Control	2138	3.0
104	10	2600	Beer	6	Past	5960	1.0
120	10	2702	Hunger	7	Past	7144	1.0
136	10	2700	Upset	8	Other	9998	2.0
152	10	2480	Waiting	9	Future	10192	1.0
168	10	CS22	Control Stimulus	10	Control	2261	3.0
184	10	2580	Game	11	Null	0	n/a
200	10	CS20	Control Stimulus	12	Control	1959	2.0
216	10	2540	Affection	13	Null	0	n/a
232	10	2515	Fruit	14	Other	7454	1.0
248	10	2751	PoorJudgment	15	Future	9652	3.0
264	10	2501	Tourist	16	Future	9566	2.0
280	10	2635	Cold	17	Other	6623	1.0
296	10	2810	Barrier	18	Null	0	n/a
312	10	2455	Support	19	Past	7054	2.0
328	10	2410	Math	20	Null	0	n/a
344	10	CS18	Control Stimulus	21	Control	2791	3.0
360	10	2487	Music	22	Future	7042	1.0
376	10	2692	Terror	23	Other	8028	1.0
392	10	2752	Intoxicated	24	Past	7465	1.0
408	10	2490	Leftovers	25	Null	0	n/a
424	10	CS23	Control Stimulus	26	Control	2485	2.0
440	10	3280	Dentist	27	Future	9158	1.0
456	10	CS24	Control Stimulus	28	Control	2138	1.0
472	10	4621	Inappropriate	29	Other	10269	1.0
488	10	2530	Bicycle	30	Past	7084	1.0
