onset	duration	IAPSIdentifier	CueWord	TrialNumber	Condition	ResponseTime	VividnessRating
24	10	CS26	Control Stimulus	1	Control	1996	2.0
40	10	7493	Lost	2	Future	7157	2.0
56	10	7325	Summer	3	Other	5804	1.0
72	10	5628	Accomplishment	4	Other	4156	1.0
88	10	9417	Penalty	5	Null	0	n/a
104	10	8032	Skating	6	Past	5920	1.0
120	10	8090	Olympics	7	Future	6262	1.0
136	10	8010	Exhaustion	8	Null	0	n/a
152	10	6010	Trapped	9	Past	6988	3.0
168	10	4622	Beach	10	Past	6180	1.0
184	10	5622	Bravery	11	Other	6531	2.0
200	10	7550	Computer	12	Null	0	n/a
216	10	7620	Airplane	13	Other	6562	1.0
232	10	CS27	Control Stimulus	14	Control	2471	1.0
248	10	8490	Rollercoaster	15	Future	6451	1.0
264	10	CS28	Control Stimulus	16	Control	2390	3.0
280	10	6838	Shock	17	Null	0	n/a
296	10	9210	Rain	18	Past	6816	1.0
312	10	CS30	Control Stimulus	19	Control	2582	2.0
328	10	CS29	Control Stimulus	20	Control	2533	3.0
344	10	5455	Navigation	21	Null	0	n/a
360	10	5410	Performance	22	Past	5657	1.0
376	10	9582	Surgery	23	Future	7475	3.0
392	10	6834	Change	24	Other	8219	2.0
408	10	8232	Defeat	25	Future	7766	1.0
424	10	9041	Powerless	26	Other	7389	1.0
440	10	8040	Concentration	27	Past	7032	1.0
456	10	CS32	Control Stimulus	28	Control	3218	2.0
472	10	9220	Cemetery	29	Null	0	n/a
488	10	5830	Sunset	30	Future	6635	1.0
