onset	duration	IAPSIdentifier	CueWord	TrialNumber	Condition	ResponseTime	VividnessRating
24	10	2394	Health	1	Past	5709	2.0
40	10	2299	Family	2	Other	7758	1.0
56	10	9331	Homeless	3	Future	9915	1.0
72	10	CS03	Control Stimulus	4	Control	1825	2.0
88	10	2141	Death	5	Null	0	n/a
104	10	2595	Uncertainty	6	Other	8324	2.0
120	10	2222	Learning	7	Future	8653	1.0
136	10	CS05	Control Stimulus	8	Control	1917	2.0
152	10	2579	Chinatown	9	Past	8098	2.0
168	10	2025	Captivated	10	Null	0	n/a
184	10	2303	Success	11	Other	7349	1.0
200	10	CS07	Control Stimulus	12	Control	4203	1.0
216	10	2389	Driving	13	Past	10324	1.0
232	10	2550	Love	14	Future	8708	1.0
248	10	8370	Team	15	Null	0	n/a
264	10	CS02	Control Stimulus	16	Control	1978	1.0
280	10	2695	Travel	17	Null	0	n/a
296	10	9341	Trash	18	Future	6970	1.0
312	10	CS04	Control Stimulus	19	Control	3310	1.0
328	10	P5	Farm	20	Other	6506	2.0
344	10	2345	SayCheese	21	Past	6828	1.0
360	10	CS01	Control Stimulus	22	Control	1795	1.0
376	10	2320	Classroom	23	Other	6472	2.0
392	10	2560	Picnic	24	Null	0	n/a
408	10	6213	Mask	25	Future	9307	3.0
424	10	2357	Relaxing	26	Past	6755	1.0
440	10	2491	Flu	27	Null	0	n/a
456	10	1340	Birds	28	Future	6160	1.0
472	10	2393	Supervision	29	Past	7633	2.0
488	10	P6	Bath	30	Other	5643	1.0
