onset	duration	IAPSIdentifier	CueWord	TrialNumber	Condition	ResponseTime	VividnessRating
24	10	2272	Alone	1	Other	6373	2.0
40	10	2091	Friends	2	Past	10352	1.0
56	10	2399	Headache	3	Other	6370	1.0
72	10	CS16	Control Stimulus	4	Control	1806	1.0
88	10	2191	HardWork	5	Past	9423	1.0
104	10	2346	Waterfall	6	Null	0	n/a
120	10	9421	War	7	Future	7745	3.0
136	10	2092	Clowns	8	Other	7638	1.0
152	10	CS12	Control Stimulus	9	Control	2898	2.0
168	10	2205	Loss	10	Other	6782	1.0
184	10	2340	Laughter	11	Future	8100	1.0
200	10	2341	Children	12	Past	9426	1.0
216	10	2150	Safe	13	Future	10172	1.0
232	10	1601	Zoo	14	Null	0	n/a
248	10	2160	Nurture	15	Past	10029	3.0
264	10	2216	Cooperation	16	Null	0	n/a
280	10	CS09	Control Stimulus	17	Control	1419	3.0
296	10	2312	Poverty	18	Null	0	n/a
312	10	2209	Preparation	19	Other	8028	2.0
328	10	1112	Danger	20	Past	9528	1.0
344	10	2224	Amusement	21	Future	8419	1.0
360	10	CS15	Control Stimulus	22	Control	1919	3.0
376	10	2310	Admire	23	Null	0	n/a
392	10	2130	Anger	24	Past	8511	1.0
408	10	2360	Home	25	Future	9820	1.0
424	10	CS10	Control Stimulus	26	Control	3570	2.0
440	10	CS11	Control Stimulus	27	Control	3822	1.0
456	10	2331	White	28	Other	8865	1.0
472	10	2208	Celebration	29	Future	10381	1.0
488	10	2391	Outdoors	30	Null	0	n/a
