onset	duration	IAPSIdentifier	CueWord	TrialNumber	Condition	ResponseTime	VividnessRating
24	10	2320	Classroom	1	Past	5604	1.0
40	10	P6	Bath	2	Other	7396	1.0
56	10	6213	Mask	3	Future	7003	2.0
72	10	CS05	Control Stimulus	4	Control	2542	2.0
88	10	1340	Birds	5	Null	0	n/a
104	10	2299	Family	6	Other	7318	1.0
120	10	2303	Success	7	Future	8159	1.0
136	10	CS01	Control Stimulus	8	Control	2099	1.0
152	10	2695	Travel	9	Past	6925	1.0
168	10	9341	Trash	10	Null	0	n/a
184	10	2025	Captivated	11	Other	7713	1.0
200	10	CS02	Control Stimulus	12	Control	1701	1.0
216	10	2595	Uncertainty	13	Past	10220	1.0
232	10	2550	Love	14	Future	6726	1.0
248	10	2389	Driving	15	Null	0	n/a
264	10	CS03	Control Stimulus	16	Control	2828	2.0
280	10	2357	Relaxing	17	Null	0	n/a
296	10	P9	Worry	18	Future	6630	1.0
312	10	CS06	Control Stimulus	19	Control	1732	3.0
328	10	2393	Supervision	20	Other	6028	1.0
344	10	2491	Flu	21	Past	6065	2.0
360	10	CS04	Control Stimulus	22	Control	2581	1.0
376	10	2560	Picnic	23	Other	7084	2.0
392	10	P5	Farm	24	Null	0	n/a
408	10	2394	Health	25	Future	6454	1.0
424	10	9331	Homeless	26	Past	6690	1.0
440	10	8370	Team	27	Null	0	n/a
456	10	2222	Learning	28	Future	6691	1.0
472	10	2345	SayCheese	29	Past	6172	1.0
488	10	2141	Death	30	Other	6535	1.0
