onset	duration	IAPSIdentifier	CueWord	TrialNumber	Condition	ResponseTime	VividnessRating
24	10	CS26	Control Stimulus	1	Control	3369	2.0
40	10	8010	Exhaustion	2	Future	6102	1.0
56	10	9210	Rain	3	Other	6488	1.0
72	10	8232	Defeat	4	Other	7036	1.0
88	10	9417	Penalty	5	Null	0	n/a
104	10	6010	Trapped	6	Past	7930	2.0
120	10	9041	Powerless	7	Future	8600	3.0
136	10	5455	Navigation	8	Null	0	n/a
152	10	8040	Concentration	9	Past	7438	1.0
168	10	6834	Change	10	Past	7959	1.0
184	10	5410	Performance	11	Other	7301	1.0
200	10	7493	Lost	12	Null	0	n/a
216	10	8490	Rollercoaster	13	Other	7820	1.0
232	10	CS28	Control Stimulus	14	Control	2462	3.0
248	10	9582	Surgery	15	Future	10656	2.0
264	10	CS25	Control Stimulus	16	Control	2581	1.0
280	10	7550	Computer	17	Null	0	n/a
296	10	5628	Accomplishment	18	Past	7855	1.0
312	10	CS32	Control Stimulus	19	Control	3408	2.0
328	10	CS27	Control Stimulus	20	Control	2895	1.0
344	10	7620	Airplane	21	Null	0	n/a
360	10	5622	Bravery	22	Past	5826	3.0
376	10	5830	Sunset	23	Future	7881	1.0
392	10	8032	Skating	24	Other	4823	1.0
408	10	6838	Shock	25	Future	6594	2.0
424	10	9220	Cemetery	26	Other	5706	1.0
440	10	8090	Olympics	27	Past	5287	1.0
456	10	CS31	Control Stimulus	28	Control	2489	1.0
472	10	4622	Beach	29	Null	0	n/a
488	10	7325	Summer	30	Future	6591	1.0
