onset	duration	IAPSIdentifier	CueWord	TrialNumber	Condition	ResponseTime	VividnessRating
24	10	6213	Mask	1	Past	6414	2.0
40	10	P5	Farm	2	Other	10462	3.0
56	10	2141	Death	3	Future	3716	1.0
72	10	CS07	Control Stimulus	4	Control	1879	2.0
88	10	2025	Captivated	5	Null	0	n/a
104	10	2394	Health	6	Other	7667	1.0
120	10	2299	Family	7	Future	10138	1.0
136	10	CS04	Control Stimulus	8	Control	1732	1.0
152	10	P9	Worry	9	Past	7463	1.0
168	10	2303	Success	10	Null	0	n/a
184	10	2389	Driving	11	Other	9415	2.0
200	10	CS02	Control Stimulus	12	Control	2010	1.0
216	10	2491	Flu	13	Past	8888	3.0
232	10	2695	Travel	14	Future	9151	2.0
248	10	9331	Homeless	15	Null	0	n/a
264	10	CS01	Control Stimulus	16	Control	1634	1.0
280	10	2345	SayCheese	17	Null	0	n/a
296	10	2550	Love	18	Future	10231	1.0
312	10	CS06	Control Stimulus	19	Control	1864	3.0
328	10	2393	Supervision	20	Other	7836	3.0
344	10	8370	Team	21	Past	10629	3.0
360	10	CS08	Control Stimulus	22	Control	2607	3.0
376	10	2595	Uncertainty	23	Other	8327	2.0
392	10	2222	Learning	24	Null	0	n/a
408	10	2560	Picnic	25	Future	0	n/a
424	10	P6	Bath	26	Past	6729	2.0
440	10	9341	Trash	27	Null	0	n/a
456	10	2320	Classroom	28	Future	8843	3.0
472	10	1340	Birds	29	Past	7622	2.0
488	10	2357	Relaxing	30	Other	8634	3.0
