onset	duration	IAPSIdentifier	CueWord	TrialNumber	Condition	ResponseTime	VividnessRating
24	10	2480	Waiting	1	Future	9068	2.0
40	10	2751	PoorJudgment	2	Other	7493	2.0
56	10	2692	Terror	3	Past	7596	1.0
72	10	2530	Bicycle	4	Null	0	n/a
88	10	CS17	Control Stimulus	5	Control	2145	3.0
104	10	2540	Affection	6	Past	9714	2.0
120	10	2810	Barrier	7	Past	9607	2.0
136	10	4621	Inappropriate	8	Other	8292	2.0
152	10	2490	Leftovers	9	Future	0	n/a
168	10	CS20	Control Stimulus	10	Control	2157	2.0
184	10	2487	Music	11	Null	0	n/a
200	10	CS18	Control Stimulus	12	Control	1743	3.0
216	10	4599	Intimate	13	Null	0	n/a
232	10	2410	Math	14	Other	9033	1.0
248	10	2501	Tourist	15	Future	9436	3.0
264	10	2745	Desperate	16	Future	9908	3.0
280	10	2455	Support	17	Other	8048	2.0
296	10	2702	Hunger	18	Null	0	n/a
312	10	2515	Fruit	19	Past	10566	3.0
328	10	2590	Assistance	20	Null	0	n/a
344	10	CS21	Control Stimulus	21	Control	1551	1.0
360	10	2580	Game	22	Future	10245	1.0
376	10	3280	Dentist	23	Other	6106	1.0
392	10	4598	Goodbye	24	Past	10324	1.0
408	10	2635	Cold	25	Null	0	n/a
424	10	CS22	Control Stimulus	26	Control	1532	3.0
440	10	2700	Upset	27	Future	9836	3.0
456	10	CS24	Control Stimulus	28	Control	1735	1.0
472	10	2752	Intoxicated	29	Other	8018	1.0
488	10	2600	Beer	30	Past	8263	3.0
