onset	duration	IAPSIdentifier	CueWord	TrialNumber	Condition	ResponseTime	VividnessRating
24	10	2595	Uncertainty	1	Past	6291	2.0
40	10	2389	Driving	2	Other	4734	1.0
56	10	P6	Bath	3	Future	8191	1.0
72	10	CS04	Control Stimulus	4	Control	2803	1.0
88	10	8370	Team	5	Null	2074	2.0
104	10	2550	Love	6	Other	6841	1.0
120	10	2357	Relaxing	7	Future	7540	1.0
136	10	CS02	Control Stimulus	8	Control	2469	1.0
152	10	P5	Farm	9	Past	3490	1.0
168	10	P9	Worry	10	Null	0	n/a
184	10	2560	Picnic	11	Other	4909	3.0
200	10	CS03	Control Stimulus	12	Control	2428	2.0
216	10	2491	Flu	13	Past	5360	3.0
232	10	2320	Classroom	14	Future	6044	1.0
248	10	2299	Family	15	Null	0	n/a
264	10	CS01	Control Stimulus	16	Control	2529	1.0
280	10	2141	Death	17	Null	0	n/a
296	10	9331	Homeless	18	Future	8486	1.0
312	10	CS05	Control Stimulus	19	Control	2455	2.0
328	10	2222	Learning	20	Other	6302	2.0
344	10	2394	Health	21	Past	6454	1.0
360	10	CS07	Control Stimulus	22	Control	2847	2.0
376	10	2393	Supervision	23	Other	4946	2.0
392	10	2303	Success	24	Null	0	n/a
408	10	9341	Trash	25	Future	6920	3.0
424	10	1340	Birds	26	Past	0	n/a
440	10	2695	Travel	27	Null	0	n/a
456	10	6213	Mask	28	Future	7593	3.0
472	10	2025	Captivated	29	Past	6505	1.0
488	10	2345	SayCheese	30	Other	6827	2.0
