onset	duration	IAPSIdentifier	CueWord	TrialNumber	Condition	ResponseTime	VividnessRating
24	10	2150	Safe	1	Other	7079	1.0
40	10	1112	Danger	2	Past	8326	1.0
56	10	1601	Zoo	3	Other	7272	2.0
72	10	CS09	Control Stimulus	4	Control	3738	3.0
88	10	2346	Waterfall	5	Past	7494	1.0
104	10	2272	Alone	6	Null	0	n/a
120	10	9421	War	7	Future	10365	1.0
136	10	2399	Headache	8	Other	7656	1.0
152	10	CS13	Control Stimulus	9	Control	3891	1.0
168	10	2341	Children	10	Other	8304	2.0
184	10	2091	Friends	11	Future	9524	1.0
200	10	2209	Preparation	12	Past	10323	1.0
216	10	2160	Nurture	13	Future	7040	2.0
232	10	2130	Anger	14	Null	0	n/a
248	10	2360	Home	15	Past	6158	1.0
264	10	2340	Laughter	16	Null	0	n/a
280	10	CS12	Control Stimulus	17	Control	3181	2.0
296	10	2224	Amusement	18	Null	0	n/a
312	10	2310	Admire	19	Other	7902	2.0
328	10	2216	Cooperation	20	Past	10348	3.0
344	10	2312	Poverty	21	Future	8564	2.0
360	10	CS16	Control Stimulus	22	Control	2823	1.0
376	10	2208	Celebration	23	Null	0	n/a
392	10	2092	Clowns	24	Past	5753	1.0
408	10	2205	Loss	25	Future	7736	1.0
424	10	CS15	Control Stimulus	26	Control	4088	3.0
440	10	CS11	Control Stimulus	27	Control	3056	1.0
456	10	2391	Outdoors	28	Other	8425	1.0
472	10	2191	HardWork	29	Future	10042	2.0
488	10	2331	White	30	Null	0	n/a
