onset	duration	IAPSIdentifier	CueWord	TrialNumber	Condition	ResponseTime	VividnessRating
24	10	2600	Beer	1	Future	3344	1.0
40	10	2540	Affection	2	Other	2242	1.0
56	10	2590	Assistance	3	Past	2546	1.0
72	10	2530	Bicycle	4	Null	0	n/a
88	10	CS24	Control Stimulus	5	Control	2644	1.0
104	10	2487	Music	6	Past	4947	1.0
120	10	2702	Hunger	7	Past	2457	1.0
136	10	2490	Leftovers	8	Other	3910	1.0
152	10	2635	Cold	9	Future	2629	1.0
168	10	CS20	Control Stimulus	10	Control	3681	2.0
184	10	4598	Goodbye	11	Null	0	n/a
200	10	CS23	Control Stimulus	12	Control	2353	2.0
216	10	4621	Inappropriate	13	Null	0	n/a
232	10	2580	Game	14	Other	6867	1.0
248	10	2752	Intoxicated	15	Future	5166	1.0
264	10	2455	Support	16	Future	3579	1.0
280	10	2745	Desperate	17	Other	3581	1.0
296	10	3280	Dentist	18	Null	0	n/a
312	10	2501	Tourist	19	Past	2759	1.0
328	10	2810	Barrier	20	Null	0	n/a
344	10	CS22	Control Stimulus	21	Control	2305	3.0
360	10	2515	Fruit	22	Future	4529	1.0
376	10	2480	Waiting	23	Other	2436	1.0
392	10	2692	Terror	24	Past	3948	1.0
408	10	2410	Math	25	Null	0	n/a
424	10	CS17	Control Stimulus	26	Control	3361	3.0
440	10	2751	PoorJudgment	27	Future	4142	1.0
456	10	CS18	Control Stimulus	28	Control	3104	3.0
472	10	4599	Intimate	29	Other	3629	1.0
488	10	2700	Upset	30	Past	2844	1.0
