onset	duration	IAPSIdentifier	CueWord	TrialNumber	Condition	ResponseTime	VividnessRating
24	10	CS27	Control Stimulus	1	Control	2082	1.0
40	10	8010	Exhaustion	2	Future	3186	1.0
56	10	7550	Computer	3	Other	4615	1.0
72	10	8490	Rollercoaster	4	Other	5171	1.0
88	10	9041	Powerless	5	Null	0	n/a
104	10	8090	Olympics	6	Past	6064	1.0
120	10	8032	Skating	7	Future	5541	1.0
136	10	9220	Cemetery	8	Null	0	n/a
152	10	6010	Trapped	9	Past	5833	1.0
168	10	9210	Rain	10	Past	2768	1.0
184	10	5622	Bravery	11	Other	3749	1.0
200	10	9417	Penalty	12	Null	0	n/a
216	10	7620	Airplane	13	Other	5600	1.0
232	10	CS29	Control Stimulus	14	Control	2050	3.0
248	10	5410	Performance	15	Future	8062	1.0
264	10	CS26	Control Stimulus	16	Control	3077	2.0
280	10	5628	Accomplishment	17	Null	0	n/a
296	10	7493	Lost	18	Past	2880	1.0
312	10	CS30	Control Stimulus	19	Control	2039	2.0
328	10	CS32	Control Stimulus	20	Control	2403	2.0
344	10	4622	Beach	21	Null	0	n/a
360	10	7325	Summer	22	Past	5491	1.0
376	10	6838	Shock	23	Future	4193	1.0
392	10	8232	Defeat	24	Other	5989	1.0
408	10	5830	Sunset	25	Future	4880	1.0
424	10	9582	Surgery	26	Other	8138	1.0
440	10	6834	Change	27	Past	5925	1.0
456	10	CS25	Control Stimulus	28	Control	2853	1.0
472	10	5455	Navigation	29	Null	0	n/a
488	10	8040	Concentration	30	Future	5380	1.0
