onset	duration	IAPSIdentifier	CueWord	TrialNumber	Condition	ResponseTime	VividnessRating
24	10	4598	Goodbye	1	Future	4684	1.0
40	10	2480	Waiting	2	Other	6506	1.0
56	10	2692	Terror	3	Past	6864	1.0
72	10	3280	Dentist	4	Null	0	n/a
88	10	CS17	Control Stimulus	5	Control	2293	3.0
104	10	2700	Upset	6	Past	5322	1.0
120	10	4599	Intimate	7	Past	6743	2.0
136	10	2702	Hunger	8	Other	7275	1.0
152	10	2745	Desperate	9	Future	6172	1.0
168	10	CS23	Control Stimulus	10	Control	1859	2.0
184	10	2590	Assistance	11	Null	0	n/a
200	10	CS21	Control Stimulus	12	Control	2099	1.0
216	10	2490	Leftovers	13	Null	0	n/a
232	10	2752	Intoxicated	14	Other	5279	1.0
248	10	2515	Fruit	15	Future	8341	2.0
264	10	2600	Beer	16	Future	6644	1.0
280	10	2455	Support	17	Other	8243	1.0
296	10	2635	Cold	18	Null	0	n/a
312	10	2487	Music	19	Past	9198	2.0
328	10	2751	PoorJudgment	20	Null	0	n/a
344	10	CS18	Control Stimulus	21	Control	1921	3.0
360	10	2501	Tourist	22	Future	7087	1.0
376	10	2530	Bicycle	23	Other	3535	1.0
392	10	2410	Math	24	Past	8426	3.0
408	10	2580	Game	25	Null	0	n/a
424	10	CS22	Control Stimulus	26	Control	1691	3.0
440	10	2540	Affection	27	Future	5630	1.0
456	10	CS20	Control Stimulus	28	Control	2518	2.0
472	10	2810	Barrier	29	Other	5608	2.0
488	10	4621	Inappropriate	30	Past	6078	1.0
