onset	duration	IAPSIdentifier	CueWord	TrialNumber	Condition	ResponseTime	VividnessRating
24	10	2752	Intoxicated	1	Future	7224	1.0
40	10	2590	Assistance	2	Other	6358	2.0
56	10	2692	Terror	3	Past	7646	3.0
72	10	2530	Bicycle	4	Null	0	n/a
88	10	CS21	Control Stimulus	5	Control	2440	1.0
104	10	2487	Music	6	Past	6438	1.0
120	10	2455	Support	7	Past	7537	1.0
136	10	4599	Intimate	8	Other	6826	2.0
152	10	2600	Beer	9	Future	2979	3.0
168	10	CS19	Control Stimulus	10	Control	1575	2.0
184	10	2490	Leftovers	11	Null	0	n/a
200	10	CS22	Control Stimulus	12	Control	1432	3.0
216	10	2635	Cold	13	Null	0	n/a
232	10	4598	Goodbye	14	Other	6087	1.0
248	10	2702	Hunger	15	Future	6597	1.0
264	10	4621	Inappropriate	16	Future	7453	2.0
280	10	2700	Upset	17	Other	7742	1.0
296	10	2501	Tourist	18	Null	0	n/a
312	10	2751	PoorJudgment	19	Past	8068	2.0
328	10	3280	Dentist	20	Null	0	n/a
344	10	CS18	Control Stimulus	21	Control	1497	3.0
360	10	2580	Game	22	Future	7453	1.0
376	10	2810	Barrier	23	Other	7594	1.0
392	10	2515	Fruit	24	Past	7835	1.0
408	10	2410	Math	25	Null	0	n/a
424	10	CS20	Control Stimulus	26	Control	1265	2.0
440	10	2745	Desperate	27	Future	7299	1.0
456	10	CS24	Control Stimulus	28	Control	1335	1.0
472	10	2480	Waiting	29	Other	7191	1.0
488	10	2540	Affection	30	Past	8853	1.0
