onset	duration	IAPSIdentifier	CueWord	TrialNumber	Condition	ResponseTime	VividnessRating
24	10	2393	Supervision	1	Past	6881	1.0
40	10	2025	Captivated	2	Other	8091	1.0
56	10	2560	Picnic	3	Future	5554	3.0
72	10	CS05	Control Stimulus	4	Control	1693	2.0
88	10	9331	Homeless	5	Null	0	n/a
104	10	6213	Mask	6	Other	5434	1.0
120	10	9341	Trash	7	Future	6695	3.0
136	10	CS08	Control Stimulus	8	Control	1882	3.0
152	10	P6	Bath	9	Past	6158	1.0
168	10	2695	Travel	10	Null	0	n/a
184	10	2389	Driving	11	Other	5884	1.0
200	10	CS06	Control Stimulus	12	Control	1719	3.0
216	10	2357	Relaxing	13	Past	5552	1.0
232	10	2320	Classroom	14	Future	5902	1.0
248	10	P5	Farm	15	Null	0	n/a
264	10	CS04	Control Stimulus	16	Control	1899	1.0
280	10	2141	Death	17	Null	0	n/a
296	10	2394	Health	18	Future	5990	1.0
312	10	CS01	Control Stimulus	19	Control	1369	1.0
328	10	1340	Birds	20	Other	5952	1.0
344	10	2345	SayCheese	21	Past	6011	1.0
360	10	CS07	Control Stimulus	22	Control	1713	2.0
376	10	P9	Worry	23	Other	6125	2.0
392	10	2222	Learning	24	Null	0	n/a
408	10	2299	Family	25	Future	6250	1.0
424	10	2595	Uncertainty	26	Past	6807	1.0
440	10	2303	Success	27	Null	0	n/a
456	10	8370	Team	28	Future	7133	2.0
472	10	2491	Flu	29	Past	2220	3.0
488	10	2550	Love	30	Other	6642	1.0
