onset	duration	IAPSIdentifier	CueWord	TrialNumber	Condition	ResponseTime	VividnessRating
24	10	CS29	Control Stimulus	1	Control	1371	3.0
40	10	9210	Rain	2	Future	7074	1.0
56	10	7325	Summer	3	Other	7063	1.0
72	10	6838	Shock	4	Other	7858	1.0
88	10	5622	Bravery	5	Null	0	n/a
104	10	8090	Olympics	6	Past	4395	3.0
120	10	8490	Rollercoaster	7	Future	7314	1.0
136	10	8040	Concentration	8	Null	0	n/a
152	10	6010	Trapped	9	Past	8776	1.0
168	10	7620	Airplane	10	Past	7517	1.0
184	10	7493	Lost	11	Other	6364	2.0
200	10	4622	Beach	12	Null	0	n/a
216	10	9220	Cemetery	13	Other	9432	1.0
232	10	CS32	Control Stimulus	14	Control	1822	2.0
248	10	8032	Skating	15	Future	6278	3.0
264	10	CS31	Control Stimulus	16	Control	1282	1.0
280	10	5628	Accomplishment	17	Null	0	n/a
296	10	8232	Defeat	18	Past	8682	1.0
312	10	CS30	Control Stimulus	19	Control	1542	2.0
328	10	CS27	Control Stimulus	20	Control	1271	1.0
344	10	8010	Exhaustion	21	Null	0	n/a
360	10	5455	Navigation	22	Past	7488	1.0
376	10	5830	Sunset	23	Future	8134	1.0
392	10	7550	Computer	24	Other	5707	2.0
408	10	6834	Change	25	Future	9330	1.0
424	10	9041	Powerless	26	Other	7116	1.0
440	10	9417	Penalty	27	Past	6813	1.0
456	10	CS28	Control Stimulus	28	Control	1432	3.0
472	10	5410	Performance	29	Null	0	n/a
488	10	9582	Surgery	30	Future	8848	1.0
