onset	duration	IAPSIdentifier	CueWord	TrialNumber	Condition	ResponseTime	VividnessRating
24	10	2455	Support	1	Future	7737	1.0
40	10	2752	Intoxicated	2	Other	7613	1.0
56	10	2635	Cold	3	Past	8766	1.0
72	10	4599	Intimate	4	Null	0	n/a
88	10	CS22	Control Stimulus	5	Control	2316	3.0
104	10	2410	Math	6	Past	8211	3.0
120	10	4621	Inappropriate	7	Past	10847	2.0
136	10	2692	Terror	8	Other	5571	2.0
152	10	2580	Game	9	Future	7393	2.0
168	10	CS20	Control Stimulus	10	Control	1473	2.0
184	10	2590	Assistance	11	Null	0	n/a
200	10	CS19	Control Stimulus	12	Control	3692	2.0
216	10	2501	Tourist	13	Null	0	n/a
232	10	2487	Music	14	Other	4826	1.0
248	10	2810	Barrier	15	Future	8492	1.0
264	10	2540	Affection	16	Future	4891	1.0
280	10	2751	PoorJudgment	17	Other	7185	1.0
296	10	2702	Hunger	18	Null	0	n/a
312	10	3280	Dentist	19	Past	6070	1.0
328	10	2745	Desperate	20	Null	0	n/a
344	10	CS17	Control Stimulus	21	Control	2245	3.0
360	10	2700	Upset	22	Future	6571	2.0
376	10	2490	Leftovers	23	Other	6464	1.0
392	10	2530	Bicycle	24	Past	5375	2.0
408	10	2515	Fruit	25	Null	0	n/a
424	10	CS23	Control Stimulus	26	Control	1869	2.0
440	10	2600	Beer	27	Future	8280	2.0
456	10	CS18	Control Stimulus	28	Control	2306	3.0
472	10	2480	Waiting	29	Other	6778	1.0
488	10	4598	Goodbye	30	Past	5683	1.0
