onset	duration	IAPSIdentifier	CueWord	TrialNumber	Condition	ResponseTime	VividnessRating
24	10	CS28	Control Stimulus	1	Control	1996	3.0
40	10	7620	Airplane	2	Future	7106	2.0
56	10	8232	Defeat	3	Other	6277	2.0
72	10	8490	Rollercoaster	4	Other	6223	1.0
88	10	9210	Rain	5	Null	0	n/a
104	10	8032	Skating	6	Past	5258	1.0
120	10	7550	Computer	7	Future	6470	1.0
136	10	4622	Beach	8	Null	0	n/a
152	10	7325	Summer	9	Past	10120	1.0
168	10	9041	Powerless	10	Past	6918	2.0
184	10	9417	Penalty	11	Other	6409	2.0
200	10	5628	Accomplishment	12	Null	0	n/a
216	10	6834	Change	13	Other	5838	1.0
232	10	CS27	Control Stimulus	14	Control	1672	1.0
248	10	9220	Cemetery	15	Future	8456	2.0
264	10	CS25	Control Stimulus	16	Control	2651	1.0
280	10	6010	Trapped	17	Null	0	n/a
296	10	8010	Exhaustion	18	Past	7371	1.0
312	10	CS30	Control Stimulus	19	Control	2128	2.0
328	10	CS32	Control Stimulus	20	Control	2032	2.0
344	10	5455	Navigation	21	Null	0	n/a
360	10	5622	Bravery	22	Past	5910	1.0
376	10	6838	Shock	23	Future	8228	1.0
392	10	5830	Sunset	24	Other	7936	2.0
408	10	8040	Concentration	25	Future	9385	1.0
424	10	9582	Surgery	26	Other	5635	1.0
440	10	8090	Olympics	27	Past	5754	3.0
456	10	CS26	Control Stimulus	28	Control	1521	2.0
472	10	5410	Performance	29	Null	0	n/a
488	10	7493	Lost	30	Future	8415	1.0
