onset	duration	IAPSIdentifier	CueWord	TrialNumber	Condition	ResponseTime	VividnessRating
24	10	P6	Bath	1	Past	6926	2.0
40	10	2695	Travel	2	Other	9025	1.0
56	10	2394	Health	3	Future	6455	2.0
72	10	CS04	Control Stimulus	4	Control	3910	1.0
88	10	2025	Captivated	5	Null	0	n/a
104	10	2393	Supervision	6	Other	6631	2.0
120	10	2357	Relaxing	7	Future	6867	1.0
136	10	CS05	Control Stimulus	8	Control	3143	2.0
152	10	6213	Mask	9	Past	7781	1.0
168	10	2303	Success	10	Null	0	n/a
184	10	1340	Birds	11	Other	6372	1.0
200	10	CS08	Control Stimulus	12	Control	2837	3.0
216	10	2560	Picnic	13	Past	5772	3.0
232	10	2491	Flu	14	Future	8045	1.0
248	10	2299	Family	15	Null	0	n/a
264	10	CS06	Control Stimulus	16	Control	3151	3.0
280	10	9331	Homeless	17	Null	0	n/a
296	10	2550	Love	18	Future	7105	2.0
312	10	CS03	Control Stimulus	19	Control	2303	2.0
328	10	2345	SayCheese	20	Other	6632	1.0
344	10	P9	Worry	21	Past	6751	1.0
360	10	CS01	Control Stimulus	22	Control	2094	1.0
376	10	2320	Classroom	23	Other	6392	2.0
392	10	2595	Uncertainty	24	Null	0	n/a
408	10	P5	Farm	25	Future	6609	1.0
424	10	2222	Learning	26	Past	9478	2.0
440	10	9341	Trash	27	Null	0	n/a
456	10	2389	Driving	28	Future	6015	1.0
472	10	2141	Death	29	Past	6635	1.0
488	10	8370	Team	30	Other	4851	1.0
