onset	duration	IAPSIdentifier	CueWord	TrialNumber	Condition	ResponseTime	VividnessRating
24	10	4599	Intimate	1	Future	6131	2.0
40	10	2702	Hunger	2	Other	6814	1.0
56	10	2515	Fruit	3	Past	7315	1.0
72	10	2410	Math	4	Null	0	n/a
88	10	CS22	Control Stimulus	5	Control	2719	3.0
104	10	2745	Desperate	6	Past	8438	3.0
120	10	2490	Leftovers	7	Past	7896	1.0
136	10	2580	Game	8	Other	10358	2.0
152	10	2487	Music	9	Future	8558	1.0
168	10	CS24	Control Stimulus	10	Control	2371	1.0
184	10	2752	Intoxicated	11	Null	0	n/a
200	10	CS17	Control Stimulus	12	Control	2778	3.0
216	10	2455	Support	13	Null	0	n/a
232	10	2540	Affection	14	Other	5641	1.0
248	10	4621	Inappropriate	15	Future	8971	1.0
264	10	2480	Waiting	16	Future	5406	1.0
280	10	2501	Tourist	17	Other	7841	2.0
296	10	2700	Upset	18	Null	0	n/a
312	10	2530	Bicycle	19	Past	8036	1.0
328	10	2692	Terror	20	Null	0	n/a
344	10	CS21	Control Stimulus	21	Control	2143	1.0
360	10	2590	Assistance	22	Future	8144	2.0
376	10	2600	Beer	23	Other	7160	2.0
392	10	4598	Goodbye	24	Past	7445	1.0
408	10	2810	Barrier	25	Null	0	n/a
424	10	CS19	Control Stimulus	26	Control	2754	2.0
440	10	2751	PoorJudgment	27	Future	8684	1.0
456	10	CS23	Control Stimulus	28	Control	2815	2.0
472	10	2635	Cold	29	Other	5198	1.0
488	10	3280	Dentist	30	Past	7034	2.0
