onset	duration	IAPSIdentifier	CueWord	TrialNumber	Condition	ResponseTime	VividnessRating
24	10	2331	White	1	Other	6396	2.0
40	10	2130	Anger	2	Past	7422	1.0
56	10	2091	Friends	3	Other	8809	2.0
72	10	CS16	Control Stimulus	4	Control	2320	1.0
88	10	2092	Clowns	5	Past	7445	3.0
104	10	2310	Admire	6	Null	0	n/a
120	10	2399	Headache	7	Future	10260	1.0
136	10	2224	Amusement	8	Other	8551	2.0
152	10	CS14	Control Stimulus	9	Control	2296	3.0
168	10	2360	Home	10	Other	6365	1.0
184	10	2391	Outdoors	11	Future	7625	1.0
200	10	1601	Zoo	12	Past	7794	1.0
216	10	2346	Waterfall	13	Future	8268	1.0
232	10	1112	Danger	14	Null	0	n/a
248	10	2160	Nurture	15	Past	10717	3.0
264	10	2272	Alone	16	Null	0	n/a
280	10	CS12	Control Stimulus	17	Control	2230	2.0
296	10	2205	Loss	18	Null	0	n/a
312	10	2312	Poverty	19	Other	5938	1.0
328	10	2341	Children	20	Past	9630	2.0
344	10	2209	Preparation	21	Future	10291	1.0
360	10	CS13	Control Stimulus	22	Control	3661	1.0
376	10	9421	War	23	Null	0	n/a
392	10	2340	Laughter	24	Past	10263	1.0
408	10	2216	Cooperation	25	Future	8194	2.0
424	10	CS15	Control Stimulus	26	Control	1900	3.0
440	10	CS09	Control Stimulus	27	Control	2224	3.0
456	10	2191	HardWork	28	Other	7553	2.0
472	10	2150	Safe	29	Future	7155	1.0
488	10	2208	Celebration	30	Null	0	n/a
