onset	duration	IAPSIdentifier	CueWord	TrialNumber	Condition	ResponseTime	VividnessRating
24	10	2025	Captivated	1	Past	6809	1.0
40	10	2550	Love	2	Other	9839	2.0
56	10	2394	Health	3	Future	8060	1.0
72	10	CS04	Control Stimulus	4	Control	3049	1.0
88	10	2141	Death	5	Null	0	n/a
104	10	P5	Farm	6	Other	7987	2.0
120	10	2491	Flu	7	Future	8456	2.0
136	10	CS01	Control Stimulus	8	Control	2731	1.0
152	10	9331	Homeless	9	Past	6905	2.0
168	10	2389	Driving	10	Null	0	n/a
184	10	6213	Mask	11	Other	9361	3.0
200	10	CS03	Control Stimulus	12	Control	2431	2.0
216	10	2345	SayCheese	13	Past	8122	2.0
232	10	2393	Supervision	14	Future	8743	3.0
248	10	8370	Team	15	Null	0	n/a
264	10	CS08	Control Stimulus	16	Control	2588	3.0
280	10	2695	Travel	17	Null	0	n/a
296	10	P6	Bath	18	Future	7066	1.0
312	10	CS06	Control Stimulus	19	Control	2778	3.0
328	10	2357	Relaxing	20	Other	7404	2.0
344	10	2303	Success	21	Past	8204	1.0
360	10	CS05	Control Stimulus	22	Control	2037	2.0
376	10	2222	Learning	23	Other	6706	2.0
392	10	2560	Picnic	24	Null	0	n/a
408	10	9341	Trash	25	Future	8396	2.0
424	10	1340	Birds	26	Past	8156	2.0
440	10	2595	Uncertainty	27	Null	0	n/a
456	10	2299	Family	28	Future	9176	2.0
472	10	2320	Classroom	29	Past	6662	1.0
488	10	P9	Worry	30	Other	8450	2.0
