onset	duration	IAPSIdentifier	CueWord	TrialNumber	Condition	ResponseTime	VividnessRating
24	10	CS30	Control Stimulus	1	Control	2209	2.0
40	10	9582	Surgery	2	Future	9566	2.0
56	10	9041	Powerless	3	Other	7751	2.0
72	10	9210	Rain	4	Other	7181	1.0
88	10	5830	Sunset	5	Null	0	n/a
104	10	8010	Exhaustion	6	Past	7502	2.0
120	10	7620	Airplane	7	Future	7573	1.0
136	10	4622	Beach	8	Null	0	n/a
152	10	9417	Penalty	9	Past	7413	2.0
168	10	8090	Olympics	10	Past	9476	2.0
184	10	5622	Bravery	11	Other	7930	2.0
200	10	8032	Skating	12	Null	0	n/a
216	10	8040	Concentration	13	Other	7994	2.0
232	10	CS25	Control Stimulus	14	Control	2322	1.0
248	10	5628	Accomplishment	15	Future	10263	2.0
264	10	CS29	Control Stimulus	16	Control	3458	3.0
280	10	8490	Rollercoaster	17	Null	0	n/a
296	10	6838	Shock	18	Past	8601	3.0
312	10	CS26	Control Stimulus	19	Control	2593	2.0
328	10	CS32	Control Stimulus	20	Control	2603	2.0
344	10	6834	Change	21	Null	0	n/a
360	10	6010	Trapped	22	Past	7944	2.0
376	10	7325	Summer	23	Future	7874	1.0
392	10	9220	Cemetery	24	Other	9155	2.0
408	10	7550	Computer	25	Future	6754	1.0
424	10	5455	Navigation	26	Other	7554	2.0
440	10	7493	Lost	27	Past	10521	3.0
456	10	CS28	Control Stimulus	28	Control	2164	3.0
472	10	5410	Performance	29	Null	0	n/a
488	10	8232	Defeat	30	Future	8781	2.0
