onset	duration	IAPSIdentifier	CueWord	TrialNumber	Condition	ResponseTime	VividnessRating
24	10	2346	Waterfall	1	Other	10308	2.0
40	10	9421	War	2	Past	6995	3.0
56	10	2224	Amusement	3	Other	10596	2.0
72	10	CS15	Control Stimulus	4	Control	1492	3.0
88	10	2360	Home	5	Past	10477	3.0
104	10	2331	White	6	Null	0	n/a
120	10	1601	Zoo	7	Future	10467	3.0
136	10	2272	Alone	8	Other	8355	1.0
152	10	CS10	Control Stimulus	9	Control	1340	2.0
168	10	2130	Anger	10	Other	8977	1.0
184	10	2160	Nurture	11	Future	10407	2.0
200	10	2209	Preparation	12	Past	10347	1.0
216	10	2191	HardWork	13	Future	6732	2.0
232	10	2391	Outdoors	14	Null	0	n/a
248	10	2399	Headache	15	Past	7655	1.0
264	10	2340	Laughter	16	Null	0	n/a
280	10	CS14	Control Stimulus	17	Control	1412	3.0
296	10	2150	Safe	18	Null	0	n/a
312	10	2341	Children	19	Other	7751	3.0
328	10	2312	Poverty	20	Past	8284	1.0
344	10	2310	Admire	21	Future	10378	2.0
360	10	CS09	Control Stimulus	22	Control	1441	3.0
376	10	2092	Clowns	23	Null	0	n/a
392	10	2208	Celebration	24	Past	6722	1.0
408	10	2216	Cooperation	25	Future	9102	1.0
424	10	CS11	Control Stimulus	26	Control	1317	1.0
440	10	CS13	Control Stimulus	27	Control	1332	1.0
456	10	2205	Loss	28	Other	5565	1.0
472	10	2091	Friends	29	Future	9334	1.0
488	10	1112	Danger	30	Null	0	n/a
