onset	duration	IAPSIdentifier	CueWord	TrialNumber	Condition	ResponseTime	VividnessRating
24	10	2600	Beer	1	Future	6896	3.0
40	10	2410	Math	2	Other	7384	2.0
56	10	2590	Assistance	3	Past	8857	3.0
72	10	2490	Leftovers	4	Null	0	n/a
88	10	CS21	Control Stimulus	5	Control	1352	1.0
104	10	4621	Inappropriate	6	Past	5920	1.0
120	10	3280	Dentist	7	Past	4128	1.0
136	10	2530	Bicycle	8	Other	6646	2.0
152	10	2702	Hunger	9	Future	6082	1.0
168	10	CS17	Control Stimulus	10	Control	1394	3.0
184	10	2700	Upset	11	Null	0	n/a
200	10	CS20	Control Stimulus	12	Control	1326	2.0
216	10	2692	Terror	13	Null	0	n/a
232	10	2752	Intoxicated	14	Other	4792	1.0
248	10	2501	Tourist	15	Future	6891	2.0
264	10	2635	Cold	16	Future	9109	3.0
280	10	2810	Barrier	17	Other	7660	2.0
296	10	2480	Waiting	18	Null	0	n/a
312	10	2540	Affection	19	Past	5375	1.0
328	10	2580	Game	20	Null	0	n/a
344	10	CS18	Control Stimulus	21	Control	1343	3.0
360	10	2745	Desperate	22	Future	7562	2.0
376	10	2455	Support	23	Other	4680	2.0
392	10	2751	PoorJudgment	24	Past	6195	1.0
408	10	2515	Fruit	25	Null	0	n/a
424	10	CS19	Control Stimulus	26	Control	1337	2.0
440	10	2487	Music	27	Future	6349	1.0
456	10	CS24	Control Stimulus	28	Control	1323	1.0
472	10	4598	Goodbye	29	Other	3317	1.0
488	10	4599	Intimate	30	Past	6514	1.0
