onset	duration	IAPSIdentifier	CueWord	TrialNumber	Condition	ResponseTime	VividnessRating
24	10	2394	Health	1	Past	10386	1.0
40	10	2320	Classroom	2	Other	10022	2.0
56	10	9331	Homeless	3	Future	5664	3.0
72	10	CS03	Control Stimulus	4	Control	1566	2.0
88	10	1340	Birds	5	Null	0	n/a
104	10	2345	SayCheese	6	Other	10467	2.0
120	10	2695	Travel	7	Future	10373	2.0
136	10	CS08	Control Stimulus	8	Control	1416	3.0
152	10	P5	Farm	9	Past	10468	3.0
168	10	6213	Mask	10	Null	0	n/a
184	10	2560	Picnic	11	Other	8507	3.0
200	10	CS01	Control Stimulus	12	Control	1272	1.0
216	10	2389	Driving	13	Past	10515	1.0
232	10	2299	Family	14	Future	10475	2.0
248	10	2550	Love	15	Null	0	n/a
264	10	CS04	Control Stimulus	16	Control	1600	1.0
280	10	2222	Learning	17	Null	0	n/a
296	10	2357	Relaxing	18	Future	10413	1.0
312	10	CS05	Control Stimulus	19	Control	1456	2.0
328	10	2491	Flu	20	Other	10375	3.0
344	10	P9	Worry	21	Past	10404	1.0
360	10	CS06	Control Stimulus	22	Control	1433	3.0
376	10	8370	Team	23	Other	10526	2.0
392	10	2303	Success	24	Null	0	n/a
408	10	P6	Bath	25	Future	10487	1.0
424	10	2595	Uncertainty	26	Past	10547	1.0
440	10	2393	Supervision	27	Null	0	n/a
456	10	2141	Death	28	Future	0	n/a
472	10	9341	Trash	29	Past	10785	3.0
488	10	2025	Captivated	30	Other	10534	1.0
