onset	duration	IAPSIdentifier	CueWord	TrialNumber	Condition	ResponseTime	VividnessRating
24	10	CS29	Control Stimulus	1	Control	2361	3.0
40	10	7550	Computer	2	Future	3456	1.0
56	10	9210	Rain	3	Other	5817	2.0
72	10	8010	Exhaustion	4	Other	8517	1.0
88	10	6834	Change	5	Null	0	n/a
104	10	7493	Lost	6	Past	8087	3.0
120	10	6010	Trapped	7	Future	5589	3.0
136	10	9417	Penalty	8	Null	0	n/a
152	10	4622	Beach	9	Past	3995	1.0
168	10	9582	Surgery	10	Past	7041	1.0
184	10	7325	Summer	11	Other	5591	1.0
200	10	5628	Accomplishment	12	Null	0	n/a
216	10	8040	Concentration	13	Other	7697	2.0
232	10	CS28	Control Stimulus	14	Control	2018	3.0
248	10	8090	Olympics	15	Future	7262	1.0
264	10	CS25	Control Stimulus	16	Control	2143	1.0
280	10	5410	Performance	17	Null	0	n/a
296	10	8032	Skating	18	Past	6176	1.0
312	10	CS30	Control Stimulus	19	Control	2379	2.0
328	10	CS31	Control Stimulus	20	Control	1897	1.0
344	10	8232	Defeat	21	Null	0	n/a
360	10	9220	Cemetery	22	Past	7073	1.0
376	10	5622	Bravery	23	Future	8210	3.0
392	10	9041	Powerless	24	Other	6242	1.0
408	10	5455	Navigation	25	Future	6470	2.0
424	10	8490	Rollercoaster	26	Other	6753	2.0
440	10	7620	Airplane	27	Past	7083	3.0
456	10	CS32	Control Stimulus	28	Control	2443	2.0
472	10	6838	Shock	29	Null	0	n/a
488	10	5830	Sunset	30	Future	5379	3.0
