onset	duration	IAPSIdentifier	CueWord	TrialNumber	Condition	ResponseTime	VividnessRating
24	10	2751	PoorJudgment	1	Future	8334	1.0
40	10	2590	Assistance	2	Other	7002	2.0
56	10	2580	Game	3	Past	8774	1.0
72	10	2455	Support	4	Null	0	n/a
88	10	CS20	Control Stimulus	5	Control	2354	2.0
104	10	2501	Tourist	6	Past	7735	2.0
120	10	2490	Leftovers	7	Past	9169	3.0
136	10	2487	Music	8	Other	6625	1.0
152	10	2752	Intoxicated	9	Future	7351	2.0
168	10	CS23	Control Stimulus	10	Control	2447	2.0
184	10	3280	Dentist	11	Null	0	n/a
200	10	CS18	Control Stimulus	12	Control	2268	3.0
216	10	4621	Inappropriate	13	Null	0	n/a
232	10	2530	Bicycle	14	Other	6653	1.0
248	10	2702	Hunger	15	Future	5213	1.0
264	10	4598	Goodbye	16	Future	7074	1.0
280	10	2515	Fruit	17	Other	7370	2.0
296	10	2810	Barrier	18	Null	0	n/a
312	10	2700	Upset	19	Past	8751	1.0
328	10	2600	Beer	20	Null	0	n/a
344	10	CS17	Control Stimulus	21	Control	1800	3.0
360	10	4599	Intimate	22	Future	7441	3.0
376	10	2480	Waiting	23	Other	7286	1.0
392	10	2745	Desperate	24	Past	7822	1.0
408	10	2692	Terror	25	Null	0	n/a
424	10	CS19	Control Stimulus	26	Control	1958	2.0
440	10	2635	Cold	27	Future	6126	1.0
456	10	CS22	Control Stimulus	28	Control	1703	3.0
472	10	2410	Math	29	Other	6804	1.0
488	10	2540	Affection	30	Past	7033	1.0
