onset	duration	IAPSIdentifier	CueWord	TrialNumber	Condition	ResponseTime	VividnessRating
24	10	2150	Safe	1	Other	4946	1.0
40	10	9421	War	2	Past	3440	3.0
56	10	2391	Outdoors	3	Other	2100	1.0
72	10	CS12	Control Stimulus	4	Control	0	n/a
88	10	1112	Danger	5	Past	2272	1.0
104	10	2341	Children	6	Null	0	n/a
120	10	2340	Laughter	7	Future	2002	1.0
136	10	2272	Alone	8	Other	5148	2.0
152	10	CS14	Control Stimulus	9	Control	5202	3.0
168	10	2191	HardWork	10	Other	4140	1.0
184	10	2346	Waterfall	11	Future	4007	1.0
200	10	2331	White	12	Past	4275	1.0
216	10	1601	Zoo	13	Future	3872	1.0
232	10	2091	Friends	14	Null	8638	1.0
248	10	2360	Home	15	Past	3365	1.0
264	10	2310	Admire	16	Null	0	n/a
280	10	CS09	Control Stimulus	17	Control	2188	3.0
296	10	2312	Poverty	18	Null	0	n/a
312	10	2209	Preparation	19	Other	4727	2.0
328	10	2224	Amusement	20	Past	6731	3.0
344	10	2092	Clowns	21	Future	4234	2.0
360	10	CS13	Control Stimulus	22	Control	2624	1.0
376	10	2216	Cooperation	23	Null	11136	1.0
392	10	2160	Nurture	24	Past	4871	2.0
408	10	2205	Loss	25	Future	4533	1.0
424	10	CS16	Control Stimulus	26	Control	2833	1.0
440	10	CS15	Control Stimulus	27	Control	2327	3.0
456	10	2208	Celebration	28	Other	3263	1.0
472	10	2399	Headache	29	Future	0	n/a
488	10	2130	Anger	30	Null	0	n/a
