onset	duration	IAPSIdentifier	CueWord	TrialNumber	Condition	ResponseTime	VividnessRating
24	10	2345	SayCheese	1	Past	4693	1.0
40	10	2393	Supervision	2	Other	4889	1.0
56	10	2025	Captivated	3	Future	7189	1.0
72	10	CS01	Control Stimulus	4	Control	2428	1.0
88	10	2320	Classroom	5	Null	4021	1.0
104	10	2357	Relaxing	6	Other	4829	1.0
120	10	P9	Worry	7	Future	7628	1.0
136	10	CS07	Control Stimulus	8	Control	3575	2.0
152	10	2560	Picnic	9	Past	6158	3.0
168	10	P6	Bath	10	Null	0	n/a
184	10	9331	Homeless	11	Other	6787	2.0
200	10	CS06	Control Stimulus	12	Control	3381	3.0
216	10	2389	Driving	13	Past	5517	1.0
232	10	2394	Health	14	Future	7305	1.0
248	10	2491	Flu	15	Null	0	n/a
264	10	CS04	Control Stimulus	16	Control	3744	1.0
280	10	2595	Uncertainty	17	Null	0	n/a
296	10	2695	Travel	18	Future	4290	1.0
312	10	CS05	Control Stimulus	19	Control	0	n/a
328	10	2222	Learning	20	Other	0	n/a
344	10	9341	Trash	21	Past	4389	1.0
360	10	CS08	Control Stimulus	22	Control	2873	3.0
376	10	6213	Mask	23	Other	7053	3.0
392	10	8370	Team	24	Null	0	n/a
408	10	2303	Success	25	Future	5515	1.0
424	10	2550	Love	26	Past	7257	1.0
440	10	2299	Family	27	Null	0	n/a
456	10	P5	Farm	28	Future	7565	1.0
472	10	2141	Death	29	Past	5597	2.0
488	10	1340	Birds	30	Other	6963	2.0
