onset	duration	IAPSIdentifier	CueWord	TrialNumber	Condition	ResponseTime	VividnessRating
24	10	CS32	Control Stimulus	1	Control	1821	2.0
40	10	6834	Change	2	Future	7832	2.0
56	10	8490	Rollercoaster	3	Other	6734	1.0
72	10	7493	Lost	4	Other	7630	1.0
88	10	5455	Navigation	5	Null	0	n/a
104	10	9582	Surgery	6	Past	8879	2.0
120	10	5628	Accomplishment	7	Future	10256	1.0
136	10	5830	Sunset	8	Null	0	n/a
152	10	8232	Defeat	9	Past	8116	1.0
168	10	9210	Rain	10	Past	7337	2.0
184	10	5622	Bravery	11	Other	8337	1.0
200	10	8040	Concentration	12	Null	0	n/a
216	10	4622	Beach	13	Other	8117	2.0
232	10	CS31	Control Stimulus	14	Control	1480	1.0
248	10	8010	Exhaustion	15	Future	9022	1.0
264	10	CS26	Control Stimulus	16	Control	1435	2.0
280	10	8032	Skating	17	Null	0	n/a
296	10	8090	Olympics	18	Past	7579	2.0
312	10	CS27	Control Stimulus	19	Control	1859	1.0
328	10	CS29	Control Stimulus	20	Control	2702	3.0
344	10	7620	Airplane	21	Null	0	n/a
360	10	6010	Trapped	22	Past	6863	3.0
376	10	7325	Summer	23	Future	8798	1.0
392	10	5410	Performance	24	Other	7586	1.0
408	10	7550	Computer	25	Future	9060	2.0
424	10	9417	Penalty	26	Other	5614	3.0
440	10	9220	Cemetery	27	Past	6453	2.0
456	10	CS28	Control Stimulus	28	Control	2447	3.0
472	10	9041	Powerless	29	Null	0	n/a
488	10	6838	Shock	30	Future	7627	2.0
