onset	duration	IAPSIdentifier	CueWord	TrialNumber	Condition	ResponseTime	VividnessRating
24	10	2222	Learning	1	Past	9104	2.0
40	10	9331	Homeless	2	Other	10002	1.0
56	10	P6	Bath	3	Future	8037	1.0
72	10	CS06	Control Stimulus	4	Control	1811	3.0
88	10	2320	Classroom	5	Null	0	n/a
104	10	8370	Team	6	Other	5865	1.0
120	10	P9	Worry	7	Future	7336	2.0
136	10	CS01	Control Stimulus	8	Control	1716	1.0
152	10	2303	Success	9	Past	9238	1.0
168	10	2550	Love	10	Null	0	n/a
184	10	2025	Captivated	11	Other	9580	1.0
200	10	CS08	Control Stimulus	12	Control	1863	3.0
216	10	2141	Death	13	Past	9641	2.0
232	10	2491	Flu	14	Future	7485	1.0
248	10	2345	SayCheese	15	Null	0	n/a
264	10	CS05	Control Stimulus	16	Control	1707	2.0
280	10	9341	Trash	17	Null	0	n/a
296	10	2560	Picnic	18	Future	7083	1.0
312	10	CS04	Control Stimulus	19	Control	1671	1.0
328	10	P5	Farm	20	Other	6008	1.0
344	10	2595	Uncertainty	21	Past	9984	2.0
360	10	CS02	Control Stimulus	22	Control	1817	1.0
376	10	2299	Family	23	Other	7656	1.0
392	10	2695	Travel	24	Null	0	n/a
408	10	2394	Health	25	Future	8360	1.0
424	10	6213	Mask	26	Past	10179	3.0
440	10	1340	Birds	27	Null	0	n/a
456	10	2393	Supervision	28	Future	6797	1.0
472	10	2389	Driving	29	Past	7575	1.0
488	10	2357	Relaxing	30	Other	6762	1.0
