onset	duration	IAPSIdentifier	CueWord	TrialNumber	Condition	ResponseTime	VividnessRating
24	10	2346	Waterfall	1	Other	7168	2.0
40	10	2150	Safe	2	Past	6713	1.0
56	10	2160	Nurture	3	Other	9140	2.0
72	10	CS09	Control Stimulus	4	Control	1825	3.0
88	10	2310	Admire	5	Past	10258	2.0
104	10	2312	Poverty	6	Null	0	n/a
120	10	2130	Anger	7	Future	8597	1.0
136	10	2209	Preparation	8	Other	8846	2.0
152	10	CS16	Control Stimulus	9	Control	1546	1.0
168	10	2360	Home	10	Other	9120	2.0
184	10	1601	Zoo	11	Future	9694	2.0
200	10	2092	Clowns	12	Past	10337	3.0
216	10	2208	Celebration	13	Future	9269	2.0
232	10	2272	Alone	14	Null	0	n/a
248	10	2091	Friends	15	Past	10008	1.0
264	10	2191	HardWork	16	Null	0	n/a
280	10	CS12	Control Stimulus	17	Control	1886	2.0
296	10	2331	White	18	Null	0	n/a
312	10	2205	Loss	19	Other	9102	2.0
328	10	2391	Outdoors	20	Past	8511	1.0
344	10	9421	War	21	Future	9121	3.0
360	10	CS11	Control Stimulus	22	Control	1745	1.0
376	10	2216	Cooperation	23	Null	0	n/a
392	10	2224	Amusement	24	Past	8658	3.0
408	10	2341	Children	25	Future	7398	2.0
424	10	CS13	Control Stimulus	26	Control	5048	1.0
440	10	CS14	Control Stimulus	27	Control	1578	3.0
456	10	2399	Headache	28	Other	9411	2.0
472	10	2340	Laughter	29	Future	7578	1.0
488	10	1112	Danger	30	Null	0	n/a
