onset	duration	IAPSIdentifier	CueWord	TrialNumber	Condition	ResponseTime	VividnessRating
24	10	2480	Waiting	1	Future	2725	1.0
40	10	2751	PoorJudgment	2	Other	4397	1.0
56	10	2752	Intoxicated	3	Past	5068	1.0
72	10	2530	Bicycle	4	Null	0	n/a
88	10	CS23	Control Stimulus	5	Control	3695	2.0
104	10	2487	Music	6	Past	5219	1.0
120	10	2410	Math	7	Past	3202	1.0
136	10	2490	Leftovers	8	Other	6193	3.0
152	10	3280	Dentist	9	Future	5100	1.0
168	10	CS20	Control Stimulus	10	Control	2605	2.0
184	10	2590	Assistance	11	Null	0	n/a
200	10	CS17	Control Stimulus	12	Control	1760	3.0
216	10	2702	Hunger	13	Null	0	n/a
232	10	2810	Barrier	14	Other	3955	2.0
248	10	2501	Tourist	15	Future	3177	3.0
264	10	4598	Goodbye	16	Future	4044	1.0
280	10	4599	Intimate	17	Other	5489	2.0
296	10	2745	Desperate	18	Null	0	n/a
312	10	2580	Game	19	Past	3037	2.0
328	10	4621	Inappropriate	20	Null	0	n/a
344	10	CS19	Control Stimulus	21	Control	2534	2.0
360	10	2515	Fruit	22	Future	6094	1.0
376	10	2635	Cold	23	Other	5377	1.0
392	10	2692	Terror	24	Past	2285	1.0
408	10	2540	Affection	25	Null	0	n/a
424	10	CS24	Control Stimulus	26	Control	7372	1.0
440	10	2600	Beer	27	Future	7995	1.0
456	10	CS18	Control Stimulus	28	Control	7956	3.0
472	10	2455	Support	29	Other	3622	3.0
488	10	2700	Upset	30	Past	5311	1.0
