onset	duration	IAPSIdentifier	CueWord	TrialNumber	Condition	ResponseTime	VividnessRating
24	10	2091	Friends	1	Other	2535	1.0
40	10	1601	Zoo	2	Past	2918	1.0
56	10	2216	Cooperation	3	Other	4165	1.0
72	10	CS15	Control Stimulus	4	Control	3518	3.0
88	10	2399	Headache	5	Past	3583	1.0
104	10	2130	Anger	6	Null	0	n/a
120	10	2272	Alone	7	Future	6120	1.0
136	10	2312	Poverty	8	Other	3278	2.0
152	10	CS09	Control Stimulus	9	Control	3433	3.0
168	10	2340	Laughter	10	Other	4750	1.0
184	10	2224	Amusement	11	Future	4370	1.0
200	10	2150	Safe	12	Past	4593	2.0
216	10	2205	Loss	13	Future	7614	2.0
232	10	9421	War	14	Null	0	n/a
248	10	2092	Clowns	15	Past	8041	3.0
264	10	2391	Outdoors	16	Null	0	n/a
280	10	CS12	Control Stimulus	17	Control	2609	2.0
296	10	2191	HardWork	18	Null	0	n/a
312	10	2208	Celebration	19	Other	7131	3.0
328	10	2360	Home	20	Past	2697	1.0
344	10	1112	Danger	21	Future	2962	1.0
360	10	CS10	Control Stimulus	22	Control	2522	2.0
376	10	2209	Preparation	23	Null	0	n/a
392	10	2341	Children	24	Past	3845	1.0
408	10	2310	Admire	25	Future	4017	1.0
424	10	CS16	Control Stimulus	26	Control	1964	2.0
440	10	CS14	Control Stimulus	27	Control	2717	3.0
456	10	2160	Nurture	28	Other	2642	1.0
472	10	2346	Waterfall	29	Future	4120	1.0
488	10	2331	White	30	Null	0	n/a
