onset	duration	IAPSIdentifier	CueWord	TrialNumber	Condition	ResponseTime	VividnessRating
24	10	2600	Beer	1	Future	4772	1.0
40	10	4599	Intimate	2	Other	7576	2.0
56	10	2752	Intoxicated	3	Past	5359	1.0
72	10	2501	Tourist	4	Null	0	n/a
88	10	CS22	Control Stimulus	5	Control	4071	3.0
104	10	2580	Game	6	Past	6418	2.0
120	10	4598	Goodbye	7	Past	7659	3.0
136	10	2515	Fruit	8	Other	5298	2.0
152	10	2692	Terror	9	Future	7136	3.0
168	10	CS20	Control Stimulus	10	Control	1980	2.0
184	10	2751	PoorJudgment	11	Null	0	n/a
200	10	CS18	Control Stimulus	12	Control	6924	3.0
216	10	2487	Music	13	Null	0	n/a
232	10	2530	Bicycle	14	Other	6767	2.0
248	10	2540	Affection	15	Future	5806	1.0
264	10	2702	Hunger	16	Future	7572	1.0
280	10	4621	Inappropriate	17	Other	3470	2.0
296	10	2745	Desperate	18	Null	0	n/a
312	10	2410	Math	19	Past	6871	1.0
328	10	2635	Cold	20	Null	0	n/a
344	10	CS17	Control Stimulus	21	Control	2621	3.0
360	10	2455	Support	22	Future	7067	2.0
376	10	2810	Barrier	23	Other	4669	1.0
392	10	2700	Upset	24	Past	7385	3.0
408	10	2490	Leftovers	25	Null	0	n/a
424	10	CS21	Control Stimulus	26	Control	2951	1.0
440	10	2590	Assistance	27	Future	5712	1.0
456	10	CS24	Control Stimulus	28	Control	2107	1.0
472	10	2480	Waiting	29	Other	0	n/a
488	10	3280	Dentist	30	Past	6579	2.0
