onset	duration	IAPSIdentifier	CueWord	TrialNumber	Condition	ResponseTime	VividnessRating
24	10	CS29	Control Stimulus	1	Control	2503	3.0
40	10	5455	Navigation	2	Future	4621	3.0
56	10	5628	Accomplishment	3	Other	6821	2.0
72	10	4622	Beach	4	Other	3407	1.0
88	10	8010	Exhaustion	5	Null	0	n/a
104	10	5830	Sunset	6	Past	10399	2.0
120	10	8032	Skating	7	Future	5695	2.0
136	10	5410	Performance	8	Null	0	n/a
152	10	8090	Olympics	9	Past	3813	1.0
168	10	7550	Computer	10	Past	9706	1.0
184	10	8490	Rollercoaster	11	Other	0	n/a
200	10	9220	Cemetery	12	Null	0	n/a
216	10	6010	Trapped	13	Other	11071	2.0
232	10	CS31	Control Stimulus	14	Control	1953	1.0
248	10	6838	Shock	15	Future	0	n/a
264	10	CS25	Control Stimulus	16	Control	0	n/a
280	10	7620	Airplane	17	Null	0	n/a
296	10	8232	Defeat	18	Past	0	n/a
312	10	CS27	Control Stimulus	19	Control	2226	1.0
328	10	CS32	Control Stimulus	20	Control	1956	2.0
344	10	7325	Summer	21	Null	0	n/a
360	10	7493	Lost	22	Past	0	n/a
376	10	8040	Concentration	23	Future	8806	2.0
392	10	9582	Surgery	24	Other	4718	1.0
408	10	9417	Penalty	25	Future	8072	1.0
424	10	6834	Change	26	Other	6030	2.0
440	10	9210	Rain	27	Past	9517	1.0
456	10	CS30	Control Stimulus	28	Control	2664	2.0
472	10	9041	Powerless	29	Null	0	n/a
488	10	5622	Bravery	30	Future	10647	3.0
