onset	duration	IAPSIdentifier	CueWord	TrialNumber	Condition	ResponseTime	VividnessRating
24	10	2580	Game	1	Future	7324	1.0
40	10	2480	Waiting	2	Other	7042	1.0
56	10	2410	Math	3	Past	5943	3.0
72	10	2490	Leftovers	4	Null	0	n/a
88	10	CS18	Control Stimulus	5	Control	3289	3.0
104	10	4621	Inappropriate	6	Past	7632	2.0
120	10	2702	Hunger	7	Past	6130	1.0
136	10	2700	Upset	8	Other	7433	1.0
152	10	2590	Assistance	9	Future	8788	2.0
168	10	CS24	Control Stimulus	10	Control	2785	1.0
184	10	2692	Terror	11	Null	0	n/a
200	10	CS17	Control Stimulus	12	Control	3291	3.0
216	10	2751	PoorJudgment	13	Null	0	n/a
232	10	2540	Affection	14	Other	6840	1.0
248	10	2501	Tourist	15	Future	6691	1.0
264	10	2600	Beer	16	Future	5778	1.0
280	10	2515	Fruit	17	Other	6183	1.0
296	10	2530	Bicycle	18	Null	0	n/a
312	10	4599	Intimate	19	Past	7071	1.0
328	10	2745	Desperate	20	Null	0	n/a
344	10	CS21	Control Stimulus	21	Control	2411	1.0
360	10	2455	Support	22	Future	9603	1.0
376	10	4598	Goodbye	23	Other	4726	3.0
392	10	2487	Music	24	Past	6059	1.0
408	10	2810	Barrier	25	Null	0	n/a
424	10	CS19	Control Stimulus	26	Control	2547	2.0
440	10	2752	Intoxicated	27	Future	8362	1.0
456	10	CS22	Control Stimulus	28	Control	2091	3.0
472	10	3280	Dentist	29	Other	5007	1.0
488	10	2635	Cold	30	Past	6501	1.0
