onset	duration	IAPSIdentifier	CueWord	TrialNumber	Condition	ResponseTime	VividnessRating
24	10	2340	Laughter	1	Other	3671	1.0
40	10	2346	Waterfall	2	Past	5887	1.0
56	10	2191	HardWork	3	Other	5464	1.0
72	10	CS13	Control Stimulus	4	Control	2123	1.0
88	10	2130	Anger	5	Past	5492	1.0
104	10	2272	Alone	6	Null	0	n/a
120	10	2208	Celebration	7	Future	7248	1.0
136	10	1112	Danger	8	Other	6460	1.0
152	10	CS12	Control Stimulus	9	Control	4056	2.0
168	10	2399	Headache	10	Other	4631	1.0
184	10	2391	Outdoors	11	Future	7185	1.0
200	10	2091	Friends	12	Past	7879	1.0
216	10	2205	Loss	13	Future	6163	1.0
232	10	9421	War	14	Null	0	n/a
248	10	2360	Home	15	Past	5803	1.0
264	10	2150	Safe	16	Null	0	n/a
280	10	CS15	Control Stimulus	17	Control	1765	3.0
296	10	2312	Poverty	18	Null	0	n/a
312	10	2341	Children	19	Other	6472	1.0
328	10	2209	Preparation	20	Past	8387	1.0
344	10	2310	Admire	21	Future	7426	2.0
360	10	CS10	Control Stimulus	22	Control	2129	2.0
376	10	2216	Cooperation	23	Null	0	n/a
392	10	1601	Zoo	24	Past	11315	1.0
408	10	2092	Clowns	25	Future	7232	2.0
424	10	CS16	Control Stimulus	26	Control	2172	1.0
440	10	CS11	Control Stimulus	27	Control	2442	1.0
456	10	2331	White	28	Other	7504	2.0
472	10	2160	Nurture	29	Future	7756	1.0
488	10	2224	Amusement	30	Null	0	n/a
