onset	duration	IAPSIdentifier	CueWord	TrialNumber	Condition	ResponseTime	VividnessRating
24	10	2702	Hunger	1	Future	5309	1.0
40	10	4598	Goodbye	2	Other	7969	1.0
56	10	2530	Bicycle	3	Past	6108	1.0
72	10	2635	Cold	4	Null	0	n/a
88	10	CS17	Control Stimulus	5	Control	2774	3.0
104	10	2480	Waiting	6	Past	8216	2.0
120	10	2810	Barrier	7	Past	8677	3.0
136	10	2700	Upset	8	Other	9087	2.0
152	10	2745	Desperate	9	Future	7963	2.0
168	10	CS21	Control Stimulus	10	Control	1988	1.0
184	10	2580	Game	11	Null	0	n/a
200	10	CS24	Control Stimulus	12	Control	2159	1.0
216	10	2455	Support	13	Null	0	n/a
232	10	3280	Dentist	14	Other	7086	1.0
248	10	2487	Music	15	Future	7587	1.0
264	10	2600	Beer	16	Future	6356	1.0
280	10	2410	Math	17	Other	7104	1.0
296	10	2752	Intoxicated	18	Null	0	n/a
312	10	2490	Leftovers	19	Past	6892	2.0
328	10	2590	Assistance	20	Null	0	n/a
344	10	CS19	Control Stimulus	21	Control	2439	2.0
360	10	4621	Inappropriate	22	Future	8911	2.0
376	10	2540	Affection	23	Other	7342	1.0
392	10	2692	Terror	24	Past	8651	2.0
408	10	2751	PoorJudgment	25	Null	0	n/a
424	10	CS23	Control Stimulus	26	Control	2205	2.0
440	10	2515	Fruit	27	Future	9068	1.0
456	10	CS18	Control Stimulus	28	Control	2468	3.0
472	10	4599	Intimate	29	Other	7977	1.0
488	10	2501	Tourist	30	Past	7713	1.0
