onset	duration	IAPSIdentifier	CueWord	TrialNumber	Condition	ResponseTime	VividnessRating
24	10	CS29	Control Stimulus	1	Control	1613	3.0
40	10	9210	Rain	2	Future	6737	1.0
56	10	6838	Shock	3	Other	0	n/a
72	10	9220	Cemetery	4	Other	6957	2.0
88	10	9041	Powerless	5	Null	0	n/a
104	10	7550	Computer	6	Past	10229	2.0
120	10	5455	Navigation	7	Future	5860	1.0
136	10	7620	Airplane	8	Null	0	n/a
152	10	5622	Bravery	9	Past	7525	1.0
168	10	6834	Change	10	Past	5997	1.0
184	10	8490	Rollercoaster	11	Other	5739	1.0
200	10	8010	Exhaustion	12	Null	0	n/a
216	10	9582	Surgery	13	Other	10434	2.0
232	10	CS31	Control Stimulus	14	Control	1347	1.0
248	10	7325	Summer	15	Future	7648	2.0
264	10	CS28	Control Stimulus	16	Control	1545	3.0
280	10	7493	Lost	17	Null	0	n/a
296	10	9417	Penalty	18	Past	6558	1.0
312	10	CS26	Control Stimulus	19	Control	1649	2.0
328	10	CS27	Control Stimulus	20	Control	2001	1.0
344	10	4622	Beach	21	Null	0	n/a
360	10	5628	Accomplishment	22	Past	10376	3.0
376	10	8232	Defeat	23	Future	6524	1.0
392	10	6010	Trapped	24	Other	8024	1.0
408	10	8032	Skating	25	Future	9154	3.0
424	10	5410	Performance	26	Other	10310	2.0
440	10	8090	Olympics	27	Past	9949	2.0
456	10	CS25	Control Stimulus	28	Control	1302	1.0
472	10	5830	Sunset	29	Null	0	n/a
488	10	8040	Concentration	30	Future	5783	1.0
