onset	duration	IAPSIdentifier	CueWord	TrialNumber	Condition	ResponseTime	VividnessRating
24	10	2025	Captivated	1	Past	7866	2.0
40	10	9331	Homeless	2	Other	7222	2.0
56	10	2345	SayCheese	3	Future	9317	3.0
72	10	CS06	Control Stimulus	4	Control	2570	3.0
88	10	2320	Classroom	5	Null	0	n/a
104	10	2141	Death	6	Other	8867	2.0
120	10	2560	Picnic	7	Future	10555	2.0
136	10	CS08	Control Stimulus	8	Control	3148	3.0
152	10	2393	Supervision	9	Past	8512	1.0
168	10	2394	Health	10	Null	0	n/a
184	10	2550	Love	11	Other	7590	1.0
200	10	CS07	Control Stimulus	12	Control	2178	2.0
216	10	2222	Learning	13	Past	9168	1.0
232	10	9341	Trash	14	Future	10355	3.0
248	10	2303	Success	15	Null	0	n/a
264	10	CS05	Control Stimulus	16	Control	2152	2.0
280	10	P5	Farm	17	Null	0	n/a
296	10	2389	Driving	18	Future	6752	1.0
312	10	CS01	Control Stimulus	19	Control	1727	1.0
328	10	6213	Mask	20	Other	8133	2.0
344	10	2695	Travel	21	Past	7900	1.0
360	10	CS03	Control Stimulus	22	Control	1867	2.0
376	10	2299	Family	23	Other	9172	2.0
392	10	2595	Uncertainty	24	Null	0	n/a
408	10	P9	Worry	25	Future	9658	1.0
424	10	2357	Relaxing	26	Past	7333	1.0
440	10	1340	Birds	27	Null	0	n/a
456	10	P6	Bath	28	Future	10308	1.0
472	10	8370	Team	29	Past	7764	1.0
488	10	2491	Flu	30	Other	7434	1.0
