onset	duration	IAPSIdentifier	CueWord	TrialNumber	Condition	ResponseTime	VividnessRating
24	10	2635	Cold	1	Future	9355	1.0
40	10	2480	Waiting	2	Other	6931	1.0
56	10	3280	Dentist	3	Past	6554	1.0
72	10	2530	Bicycle	4	Null	0	n/a
88	10	CS23	Control Stimulus	5	Control	1816	2.0
104	10	4621	Inappropriate	6	Past	8676	3.0
120	10	2590	Assistance	7	Past	7654	3.0
136	10	2700	Upset	8	Other	9174	1.0
152	10	2692	Terror	9	Future	10701	1.0
168	10	CS19	Control Stimulus	10	Control	2622	2.0
184	10	2702	Hunger	11	Null	0	n/a
200	10	CS22	Control Stimulus	12	Control	1705	3.0
216	10	2540	Affection	13	Null	0	n/a
232	10	2600	Beer	14	Other	7411	1.0
248	10	2752	Intoxicated	15	Future	9221	2.0
264	10	2487	Music	16	Future	7392	2.0
280	10	2810	Barrier	17	Other	5674	2.0
296	10	2751	PoorJudgment	18	Null	0	n/a
312	10	4598	Goodbye	19	Past	9895	1.0
328	10	4599	Intimate	20	Null	0	n/a
344	10	CS17	Control Stimulus	21	Control	1674	3.0
360	10	2490	Leftovers	22	Future	8559	1.0
376	10	2745	Desperate	23	Other	8878	1.0
392	10	2410	Math	24	Past	8092	2.0
408	10	2455	Support	25	Null	0	n/a
424	10	CS20	Control Stimulus	26	Control	1843	2.0
440	10	2580	Game	27	Future	8505	1.0
456	10	CS24	Control Stimulus	28	Control	2738	1.0
472	10	2515	Fruit	29	Other	7595	1.0
488	10	2501	Tourist	30	Past	7219	1.0
