onset	duration	IAPSIdentifier	CueWord	TrialNumber	Condition	ResponseTime	VividnessRating
24	10	3280	Dentist	1	Future	3385	1.0
40	10	2530	Bicycle	2	Other	4595	2.0
56	10	2752	Intoxicated	3	Past	3590	1.0
72	10	2751	PoorJudgment	4	Null	0	n/a
88	10	CS17	Control Stimulus	5	Control	2733	3.0
104	10	2810	Barrier	6	Past	5811	1.0
120	10	2702	Hunger	7	Past	4460	1.0
136	10	2515	Fruit	8	Other	3698	2.0
152	10	2540	Affection	9	Future	3790	1.0
168	10	CS20	Control Stimulus	10	Control	3623	2.0
184	10	2480	Waiting	11	Null	8032	1.0
200	10	CS22	Control Stimulus	12	Control	2722	3.0
216	10	2692	Terror	13	Null	0	n/a
232	10	2700	Upset	14	Other	2930	1.0
248	10	4621	Inappropriate	15	Future	5114	1.0
264	10	2410	Math	16	Future	6823	1.0
280	10	2501	Tourist	17	Other	6184	3.0
296	10	2635	Cold	18	Null	0	n/a
312	10	2455	Support	19	Past	1140	1.0
328	10	2745	Desperate	20	Null	0	n/a
344	10	CS24	Control Stimulus	21	Control	3350	1.0
360	10	2487	Music	22	Future	4039	3.0
376	10	2580	Game	23	Other	4137	2.0
392	10	2490	Leftovers	24	Past	7463	2.0
408	10	4598	Goodbye	25	Null	0	n/a
424	10	CS23	Control Stimulus	26	Control	2993	2.0
440	10	2600	Beer	27	Future	4016	1.0
456	10	CS19	Control Stimulus	28	Control	6054	2.0
472	10	4599	Intimate	29	Other	3750	1.0
488	10	2590	Assistance	30	Past	3529	1.0
