onset	duration	IAPSIdentifier	CueWord	TrialNumber	Condition	ResponseTime	VividnessRating
24	10	CS26	Control Stimulus	1	Control	2634	2.0
40	10	9220	Cemetery	2	Future	8138	3.0
56	10	6834	Change	3	Other	5973	2.0
72	10	9210	Rain	4	Other	6549	2.0
88	10	9041	Powerless	5	Null	0	n/a
104	10	8232	Defeat	6	Past	7181	2.0
120	10	7620	Airplane	7	Future	6164	1.0
136	10	5410	Performance	8	Null	0	n/a
152	10	8090	Olympics	9	Past	6700	2.0
168	10	7493	Lost	10	Past	9194	2.0
184	10	5830	Sunset	11	Other	6435	1.0
200	10	5455	Navigation	12	Null	0	n/a
216	10	8040	Concentration	13	Other	9420	2.0
232	10	CS30	Control Stimulus	14	Control	1664	2.0
248	10	8032	Skating	15	Future	6858	1.0
264	10	CS31	Control Stimulus	16	Control	2000	1.0
280	10	4622	Beach	17	Null	0	n/a
296	10	9417	Penalty	18	Past	6985	3.0
312	10	CS28	Control Stimulus	19	Control	2072	3.0
328	10	CS25	Control Stimulus	20	Control	1505	1.0
344	10	8010	Exhaustion	21	Null	0	n/a
360	10	6010	Trapped	22	Past	8931	3.0
376	10	8490	Rollercoaster	23	Future	8191	1.0
392	10	6838	Shock	24	Other	7070	1.0
408	10	5622	Bravery	25	Future	5751	2.0
424	10	7325	Summer	26	Other	6929	1.0
440	10	9582	Surgery	27	Past	7471	2.0
456	10	CS29	Control Stimulus	28	Control	1685	3.0
472	10	5628	Accomplishment	29	Null	0	n/a
488	10	7550	Computer	30	Future	6480	1.0
