onset	duration	IAPSIdentifier	CueWord	TrialNumber	Condition	ResponseTime	VividnessRating
24	10	2150	Safe	1	Other	6691	1.0
40	10	2399	Headache	2	Past	6827	2.0
56	10	2191	HardWork	3	Other	5650	3.0
72	10	CS14	Control Stimulus	4	Control	2042	3.0
88	10	2312	Poverty	5	Past	6932	3.0
104	10	2360	Home	6	Null	0	n/a
120	10	2341	Children	7	Future	8830	1.0
136	10	2205	Loss	8	Other	6942	1.0
152	10	CS15	Control Stimulus	9	Control	1891	3.0
168	10	1112	Danger	10	Other	6623	3.0
184	10	2331	White	11	Future	8956	2.0
200	10	2092	Clowns	12	Past	7185	3.0
216	10	2272	Alone	13	Future	7781	1.0
232	10	2130	Anger	14	Null	0	n/a
248	10	2160	Nurture	15	Past	8924	1.0
264	10	1601	Zoo	16	Null	0	n/a
280	10	CS11	Control Stimulus	17	Control	2005	1.0
296	10	2391	Outdoors	18	Null	0	n/a
312	10	2091	Friends	19	Other	6868	1.0
328	10	2209	Preparation	20	Past	7821	1.0
344	10	2208	Celebration	21	Future	8094	3.0
360	10	CS13	Control Stimulus	22	Control	2317	1.0
376	10	2310	Admire	23	Null	0	n/a
392	10	2340	Laughter	24	Past	6906	2.0
408	10	9421	War	25	Future	9797	1.0
424	10	CS16	Control Stimulus	26	Control	1970	1.0
440	10	CS10	Control Stimulus	27	Control	1892	2.0
456	10	2224	Amusement	28	Other	6987	3.0
472	10	2346	Waterfall	29	Future	7424	1.0
488	10	2216	Cooperation	30	Null	0	n/a
