onset	duration	IAPSIdentifier	CueWord	TrialNumber	Condition	ResponseTime	VividnessRating
24	10	1340	Birds	1	Past	9599	2.0
40	10	2394	Health	2	Other	9072	2.0
56	10	P5	Farm	3	Future	10251	2.0
72	10	CS02	Control Stimulus	4	Control	3350	1.0
88	10	2357	Relaxing	5	Null	0	n/a
104	10	9341	Trash	6	Other	6581	1.0
120	10	8370	Team	7	Future	8336	1.0
136	10	CS04	Control Stimulus	8	Control	2378	1.0
152	10	2222	Learning	9	Past	9255	1.0
168	10	2345	SayCheese	10	Null	0	n/a
184	10	2299	Family	11	Other	9711	1.0
200	10	CS08	Control Stimulus	12	Control	2024	3.0
216	10	2560	Picnic	13	Past	10232	3.0
232	10	2025	Captivated	14	Future	7763	3.0
248	10	2491	Flu	15	Null	0	n/a
264	10	CS03	Control Stimulus	16	Control	2075	2.0
280	10	2595	Uncertainty	17	Null	0	n/a
296	10	6213	Mask	18	Future	10224	1.0
312	10	CS06	Control Stimulus	19	Control	2416	3.0
328	10	2393	Supervision	20	Other	6173	2.0
344	10	9331	Homeless	21	Past	6629	3.0
360	10	CS07	Control Stimulus	22	Control	4308	2.0
376	10	2579	Chinatown	23	Other	8397	2.0
392	10	2320	Classroom	24	Null	0	n/a
408	10	2550	Love	25	Future	7429	1.0
424	10	2141	Death	26	Past	7341	3.0
440	10	2695	Travel	27	Null	0	n/a
456	10	2303	Success	28	Future	6103	1.0
472	10	P6	Bath	29	Past	6357	2.0
488	10	2389	Driving	30	Other	8296	2.0
