onset	duration	IAPSIdentifier	CueWord	TrialNumber	Condition	ResponseTime	VividnessRating
24	10	2340	Laughter	1	Other	9340	2.0
40	10	2208	Celebration	2	Past	10047	2.0
56	10	2360	Home	3	Other	9767	1.0
72	10	CS14	Control Stimulus	4	Control	1719	3.0
88	10	1112	Danger	5	Past	10369	3.0
104	10	2224	Amusement	6	Null	0	n/a
120	10	2091	Friends	7	Future	9019	1.0
136	10	2346	Waterfall	8	Other	9610	1.0
152	10	CS11	Control Stimulus	9	Control	1759	1.0
168	10	2209	Preparation	10	Other	8934	1.0
184	10	2150	Safe	11	Future	10540	1.0
200	10	2092	Clowns	12	Past	8904	3.0
216	10	2391	Outdoors	13	Future	10138	1.0
232	10	2331	White	14	Null	0	n/a
248	10	2191	HardWork	15	Past	11212	2.0
264	10	2272	Alone	16	Null	0	n/a
280	10	CS15	Control Stimulus	17	Control	2032	3.0
296	10	2399	Headache	18	Null	0	n/a
312	10	1601	Zoo	19	Other	7891	1.0
328	10	2216	Cooperation	20	Past	6991	1.0
344	10	2312	Poverty	21	Future	10471	1.0
360	10	CS12	Control Stimulus	22	Control	2149	2.0
376	10	2205	Loss	23	Null	0	n/a
392	10	2160	Nurture	24	Past	9291	2.0
408	10	2341	Children	25	Future	8290	1.0
424	10	CS09	Control Stimulus	26	Control	3487	3.0
440	10	CS16	Control Stimulus	27	Control	3320	1.0
456	10	9421	War	28	Other	7276	1.0
472	10	2130	Anger	29	Future	9612	3.0
488	10	2310	Admire	30	Null	0	n/a
