onset	duration	IAPSIdentifier	CueWord	TrialNumber	Condition	ResponseTime	VividnessRating
24	10	8370	Team	1	Past	10527	1.0
40	10	2320	Classroom	2	Other	10760	2.0
56	10	2550	Love	3	Future	10823	2.0
72	10	CS07	Control Stimulus	4	Control	2794	2.0
88	10	6213	Mask	5	Null	0	n/a
104	10	2345	SayCheese	6	Other	10922	2.0
120	10	9341	Trash	7	Future	11351	3.0
136	10	CS08	Control Stimulus	8	Control	2639	3.0
152	10	2025	Captivated	9	Past	10879	1.0
168	10	2141	Death	10	Null	0	n/a
184	10	2303	Success	11	Other	10737	1.0
200	10	CS04	Control Stimulus	12	Control	2426	1.0
216	10	1340	Birds	13	Past	11372	2.0
232	10	2393	Supervision	14	Future	10781	1.0
248	10	P9	Worry	15	Null	0	n/a
264	10	CS06	Control Stimulus	16	Control	2763	3.0
280	10	2695	Travel	17	Null	0	n/a
296	10	2595	Uncertainty	18	Future	11282	2.0
312	10	CS03	Control Stimulus	19	Control	2820	2.0
328	10	2394	Health	20	Other	11024	2.0
344	10	2222	Learning	21	Past	10955	1.0
360	10	CS01	Control Stimulus	22	Control	1887	1.0
376	10	2491	Flu	23	Other	11001	2.0
392	10	2357	Relaxing	24	Null	0	n/a
408	10	2389	Driving	25	Future	11609	2.0
424	10	9331	Homeless	26	Past	11838	1.0
440	10	2299	Family	27	Null	0	n/a
456	10	P6	Bath	28	Future	11197	2.0
472	10	2560	Picnic	29	Past	11234	1.0
488	10	P5	Farm	30	Other	11009	2.0
