onset	duration	IAPSIdentifier	CueWord	TrialNumber	Condition	ResponseTime	VividnessRating
24	10	2702	Hunger	1	Future	8353	1.0
40	10	4599	Intimate	2	Other	8391	2.0
56	10	2580	Game	3	Past	9217	1.0
72	10	2810	Barrier	4	Null	0	n/a
88	10	CS17	Control Stimulus	5	Control	2953	3.0
104	10	3280	Dentist	6	Past	10400	1.0
120	10	2410	Math	7	Past	7222	1.0
136	10	2490	Leftovers	8	Other	6562	1.0
152	10	4621	Inappropriate	9	Future	9519	2.0
168	10	CS20	Control Stimulus	10	Control	2471	2.0
184	10	2455	Support	11	Null	0	n/a
200	10	CS24	Control Stimulus	12	Control	2713	1.0
216	10	2700	Upset	13	Null	0	n/a
232	10	2600	Beer	14	Other	9269	1.0
248	10	2751	PoorJudgment	15	Future	10433	3.0
264	10	2487	Music	16	Future	10512	1.0
280	10	2540	Affection	17	Other	10514	2.0
296	10	4598	Goodbye	18	Null	0	n/a
312	10	2480	Waiting	19	Past	10384	1.0
328	10	2752	Intoxicated	20	Null	0	n/a
344	10	CS23	Control Stimulus	21	Control	2630	2.0
360	10	2530	Bicycle	22	Future	9534	1.0
376	10	2635	Cold	23	Other	9758	2.0
392	10	2692	Terror	24	Past	10927	1.0
408	10	2590	Assistance	25	Null	0	n/a
424	10	CS21	Control Stimulus	26	Control	2221	1.0
440	10	2745	Desperate	27	Future	10668	3.0
456	10	CS18	Control Stimulus	28	Control	2196	3.0
472	10	2501	Tourist	29	Other	8933	1.0
488	10	2515	Fruit	30	Past	10108	1.0
