onset	duration	IAPSIdentifier	CueWord	TrialNumber	Condition	ResponseTime	VividnessRating
24	10	2394	Health	1	Past	10398	1.0
40	10	2595	Uncertainty	2	Other	8649	2.0
56	10	P5	Farm	3	Future	7691	2.0
72	10	CS05	Control Stimulus	4	Control	2131	2.0
88	10	2695	Travel	5	Null	0	n/a
104	10	1340	Birds	6	Other	7779	1.0
120	10	2345	SayCheese	7	Future	9900	1.0
136	10	CS02	Control Stimulus	8	Control	1828	1.0
152	10	2550	Love	9	Past	8471	1.0
168	10	2560	Picnic	10	Null	0	n/a
184	10	8370	Team	11	Other	8224	2.0
200	10	CS03	Control Stimulus	12	Control	1792	2.0
216	10	6213	Mask	13	Past	10244	3.0
232	10	2357	Relaxing	14	Future	7722	1.0
248	10	9341	Trash	15	Null	0	n/a
264	10	CS01	Control Stimulus	16	Control	1973	1.0
280	10	2299	Family	17	Null	0	n/a
296	10	2389	Driving	18	Future	9820	2.0
312	10	CS07	Control Stimulus	19	Control	1852	2.0
328	10	P9	Worry	20	Other	8866	1.0
344	10	2320	Classroom	21	Past	9838	1.0
360	10	CS04	Control Stimulus	22	Control	2829	1.0
376	10	2222	Learning	23	Other	10351	1.0
392	10	9331	Homeless	24	Null	0	n/a
408	10	2303	Success	25	Future	7777	1.0
424	10	P6	Bath	26	Past	10236	1.0
440	10	2393	Supervision	27	Null	0	n/a
456	10	2025	Captivated	28	Future	8594	1.0
472	10	2141	Death	29	Past	7109	1.0
488	10	2491	Flu	30	Other	8544	1.0
