onset	duration	IAPSIdentifier	CueWord	TrialNumber	Condition	ResponseTime	VividnessRating
24	10	2751	PoorJudgment	1	Future	7347	1.0
40	10	2540	Affection	2	Other	6501	1.0
56	10	2530	Bicycle	3	Past	6547	2.0
72	10	2745	Desperate	4	Null	0	n/a
88	10	CS22	Control Stimulus	5	Control	1928	3.0
104	10	2702	Hunger	6	Past	6859	1.0
120	10	4621	Inappropriate	7	Past	5976	1.0
136	10	2700	Upset	8	Other	1905	3.0
152	10	2501	Tourist	9	Future	7934	3.0
168	10	CS24	Control Stimulus	10	Control	1554	1.0
184	10	2590	Assistance	11	Null	0	n/a
200	10	CS18	Control Stimulus	12	Control	1808	3.0
216	10	2455	Support	13	Null	0	n/a
232	10	2810	Barrier	14	Other	8666	2.0
248	10	2515	Fruit	15	Future	7149	2.0
264	10	2600	Beer	16	Future	6461	1.0
280	10	2490	Leftovers	17	Other	9532	2.0
296	10	2752	Intoxicated	18	Null	0	n/a
312	10	2487	Music	19	Past	5621	1.0
328	10	2480	Waiting	20	Null	0	n/a
344	10	CS21	Control Stimulus	21	Control	1566	1.0
360	10	3280	Dentist	22	Future	7019	2.0
376	10	2580	Game	23	Other	1742	3.0
392	10	2692	Terror	24	Past	6563	1.0
408	10	4598	Goodbye	25	Null	0	n/a
424	10	CS20	Control Stimulus	26	Control	2310	2.0
440	10	2410	Math	27	Future	7970	1.0
456	10	CS23	Control Stimulus	28	Control	1523	2.0
472	10	4599	Intimate	29	Other	6387	1.0
488	10	2635	Cold	30	Past	4244	1.0
