onset	duration	IAPSIdentifier	CueWord	TrialNumber	Condition	ResponseTime	VividnessRating
24	10	2312	Poverty	1	Other	6991	2.0
40	10	2341	Children	2	Past	8091	1.0
56	10	2360	Home	3	Other	7913	1.0
72	10	CS10	Control Stimulus	4	Control	1750	2.0
88	10	2216	Cooperation	5	Past	7649	1.0
104	10	1601	Zoo	6	Null	0	n/a
120	10	2391	Outdoors	7	Future	7632	1.0
136	10	1112	Danger	8	Other	8958	3.0
152	10	CS15	Control Stimulus	9	Control	1993	3.0
168	10	2272	Alone	10	Other	8379	2.0
184	10	2224	Amusement	11	Future	8553	1.0
200	10	2205	Loss	12	Past	8761	1.0
216	10	2160	Nurture	13	Future	8108	1.0
232	10	2209	Preparation	14	Null	0	n/a
248	10	2092	Clowns	15	Past	7365	1.0
264	10	2208	Celebration	16	Null	0	n/a
280	10	CS13	Control Stimulus	17	Control	1543	1.0
296	10	2331	White	18	Null	0	n/a
312	10	2130	Anger	19	Other	6541	1.0
328	10	2346	Waterfall	20	Past	7973	1.0
344	10	2191	HardWork	21	Future	9448	1.0
360	10	CS14	Control Stimulus	22	Control	1782	3.0
376	10	2150	Safe	23	Null	0	n/a
392	10	2310	Admire	24	Past	10258	1.0
408	10	2340	Laughter	25	Future	8756	1.0
424	10	CS12	Control Stimulus	26	Control	2164	2.0
440	10	CS11	Control Stimulus	27	Control	1813	1.0
456	10	9421	War	28	Other	6606	3.0
472	10	2091	Friends	29	Future	8848	2.0
488	10	2399	Headache	30	Null	0	n/a
