onset	duration	IAPSIdentifier	CueWord	TrialNumber	Condition	ResponseTime	VividnessRating
24	10	CS28	Control Stimulus	1	Control	2764	3.0
40	10	9041	Powerless	2	Future	11875	3.0
56	10	8490	Rollercoaster	3	Other	11206	2.0
72	10	6010	Trapped	4	Other	9642	2.0
88	10	7620	Airplane	5	Null	0	n/a
104	10	8232	Defeat	6	Past	11484	2.0
120	10	9220	Cemetery	7	Future	10697	2.0
136	10	5830	Sunset	8	Null	0	n/a
152	10	8090	Olympics	9	Past	10679	1.0
168	10	7550	Computer	10	Past	10729	1.0
184	10	8040	Concentration	11	Other	10730	1.0
200	10	4622	Beach	12	Null	0	n/a
216	10	9210	Rain	13	Other	10990	2.0
232	10	CS27	Control Stimulus	14	Control	2915	1.0
248	10	5455	Navigation	15	Future	11393	1.0
264	10	CS31	Control Stimulus	16	Control	2092	1.0
280	10	5622	Bravery	17	Null	0	n/a
296	10	5628	Accomplishment	18	Past	10984	1.0
312	10	CS25	Control Stimulus	19	Control	2302	1.0
328	10	CS26	Control Stimulus	20	Control	2319	2.0
344	10	6834	Change	21	Null	0	n/a
360	10	9417	Penalty	22	Past	9454	1.0
376	10	8010	Exhaustion	23	Future	10738	2.0
392	10	7493	Lost	24	Other	10911	1.0
408	10	9582	Surgery	25	Future	11579	1.0
424	10	8032	Skating	26	Other	8631	2.0
440	10	7325	Summer	27	Past	11028	1.0
456	10	CS32	Control Stimulus	28	Control	3075	2.0
472	10	6838	Shock	29	Null	0	n/a
488	10	5410	Performance	30	Future	9288	1.0
