onset	duration	IAPSIdentifier	CueWord	TrialNumber	Condition	ResponseTime	VividnessRating
24	10	CS29	Control Stimulus	1	Control	2255	3.0
40	10	8490	Rollercoaster	2	Future	6740	1.0
56	10	9417	Penalty	3	Other	8139	1.0
72	10	9210	Rain	4	Other	6650	2.0
88	10	8032	Skating	5	Null	0	n/a
104	10	9220	Cemetery	6	Past	8865	1.0
120	10	7620	Airplane	7	Future	7781	1.0
136	10	8090	Olympics	8	Null	0	n/a
152	10	5628	Accomplishment	9	Past	8327	1.0
168	10	5830	Sunset	10	Past	8225	3.0
184	10	8010	Exhaustion	11	Other	9344	1.0
200	10	7550	Computer	12	Null	0	n/a
216	10	7325	Summer	13	Other	9460	2.0
232	10	CS27	Control Stimulus	14	Control	1920	1.0
248	10	6838	Shock	15	Future	8691	2.0
264	10	CS32	Control Stimulus	16	Control	3363	2.0
280	10	5622	Bravery	17	Null	0	n/a
296	10	9041	Powerless	18	Past	8150	1.0
312	10	CS28	Control Stimulus	19	Control	2252	3.0
328	10	CS30	Control Stimulus	20	Control	2428	2.0
344	10	8232	Defeat	21	Null	0	n/a
360	10	5410	Performance	22	Past	7587	1.0
376	10	5455	Navigation	23	Future	7582	2.0
392	10	4622	Beach	24	Other	8887	2.0
408	10	7493	Lost	25	Future	8840	1.0
424	10	8040	Concentration	26	Other	8411	2.0
440	10	9582	Surgery	27	Past	8514	3.0
456	10	CS26	Control Stimulus	28	Control	2918	2.0
472	10	6834	Change	29	Null	0	n/a
488	10	6010	Trapped	30	Future	8603	1.0
