onset	duration	IAPSIdentifier	CueWord	TrialNumber	Condition	ResponseTime	VividnessRating
24	10	1340	Birds	1	Past	8303	2.0
40	10	2141	Death	2	Other	7587	1.0
56	10	2389	Driving	3	Future	6528	2.0
72	10	CS08	Control Stimulus	4	Control	4162	3.0
88	10	2394	Health	5	Null	0	n/a
104	10	2393	Supervision	6	Other	8042	2.0
120	10	2299	Family	7	Future	8936	1.0
136	10	CS04	Control Stimulus	8	Control	6341	1.0
152	10	2222	Learning	9	Past	10353	2.0
168	10	6213	Mask	10	Null	0	n/a
184	10	2695	Travel	11	Other	8502	2.0
200	10	CS06	Control Stimulus	12	Control	3028	3.0
216	10	2025	Captivated	13	Past	7212	1.0
232	10	2303	Success	14	Future	8291	2.0
248	10	P9	Worry	15	Null	0	n/a
264	10	CS07	Control Stimulus	16	Control	4128	2.0
280	10	2320	Classroom	17	Null	0	n/a
296	10	9331	Homeless	18	Future	10413	2.0
312	10	CS01	Control Stimulus	19	Control	1508	1.0
328	10	P6	Bath	20	Other	4763	2.0
344	10	2345	SayCheese	21	Past	5121	1.0
360	10	CS03	Control Stimulus	22	Control	3072	2.0
376	10	P5	Farm	23	Other	6921	2.0
392	10	2491	Flu	24	Null	0	n/a
408	10	8370	Team	25	Future	8084	2.0
424	10	2357	Relaxing	26	Past	4196	1.0
440	10	2550	Love	27	Null	0	n/a
456	10	9341	Trash	28	Future	3950	3.0
472	10	2595	Uncertainty	29	Past	10140	2.0
488	10	2560	Picnic	30	Other	6733	3.0
